policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,failed_wizard,1680004,defeat,18.929999999999986,130,9,6,200,12,0,343,76
heuristic,failed_wizard,1680004,defeat,15.559999999999931,109,9,6,199,16,0,292,76
linear_q,failed_wizard,1680004,defeat,30.439999999999976,82,9,7,216,18,0,434,76
random,failed_wizard,1680005,defeat,-12.090000000000042,92,9,4,129,14,1,226,86
heuristic,failed_wizard,1680005,defeat,6.239999999999924,109,9,6,198,17,0,291,95
linear_q,failed_wizard,1680005,defeat,15.780000000000001,71,9,6,198,17,0,331,76
random,failed_wizard,1680006,defeat,-55.359999999999985,72,3,1,31,11,1,41,76
heuristic,failed_wizard,1680006,defeat,17.589999999999925,105,9,6,184,16,2,290,80
linear_q,failed_wizard,1680006,win,144.2099999999999,106,10,8,334,15,1,464,60
random,failed_wizard,1680007,defeat,22.57999999999992,192,8,7,229,15,0,390,76
heuristic,failed_wizard,1680007,defeat,38.43999999999998,77,9,8,254,19,0,451,76
linear_q,failed_wizard,1680007,defeat,37.79999999999993,119,9,8,255,16,0,433,76
random,failed_wizard,1680008,defeat,-5.630000000000017,133,9,5,169,15,1,312,95
heuristic,failed_wizard,1680008,defeat,25.689999999999948,141,9,7,213,17,2,408,76
linear_q,failed_wizard,1680008,defeat,31.949999999999875,158,9,7,227,16,0,442,76
random,failed_wizard,1680009,defeat,14.379999999999889,165,9,6,209,12,1,272,76
heuristic,failed_wizard,1680009,win,127.22999999999983,118,10,7,321,16,1,456,71
linear_q,failed_wizard,1680009,defeat,22.22999999999991,102,9,6,203,16,1,409,76
random,failed_wizard,1680010,defeat,-11.230000000000025,90,9,4,117,14,1,184,76
heuristic,failed_wizard,1680010,win,119.08999999999997,117,10,6,257,15,1,482,72
linear_q,failed_wizard,1680010,win,118.93999999999996,91,10,6,282,15,1,398,62
random,failed_wizard,1680011,defeat,-15.940000000000026,168,9,5,163,13,1,253,113
heuristic,failed_wizard,1680011,defeat,8.549999999999898,158,9,5,154,15,2,401,76
linear_q,failed_wizard,1680011,win,148.61999999999992,106,10,8,338,16,0,501,47
random,failed_wizard,1680012,defeat,-27.830000000000027,78,8,3,90,13,0,146,76
heuristic,failed_wizard,1680012,win,120.2299999999999,167,10,7,306,16,0,482,70
linear_q,failed_wizard,1680012,defeat,12.79999999999999,101,9,6,209,16,0,327,76
random,failed_wizard,1680013,defeat,-17.97000000000007,152,6,4,144,13,1,250,95
heuristic,failed_wizard,1680013,defeat,30.56999999999985,171,9,7,245,17,1,448,76
linear_q,failed_wizard,1680013,defeat,35.34999999999993,98,9,7,216,16,1,421,76
random,failed_wizard,1680014,defeat,-9.590000000000003,106,9,4,116,13,2,209,76
heuristic,failed_wizard,1680014,defeat,-1.1400000000000219,123,9,4,170,15,2,341,76
linear_q,failed_wizard,1680014,win,109.13,84,10,5,242,15,2,338,51
random,failed_wizard,1680015,defeat,0.3499999999999943,96,6,5,177,14,0,234,76
heuristic,failed_wizard,1680015,defeat,28.249999999999922,114,9,7,231,18,0,350,76
linear_q,failed_wizard,1680015,defeat,27.289999999999978,82,9,7,226,15,0,414,76
random,failed_wizard,1680016,defeat,-3.430000000000007,117,9,4,132,14,3,192,76
heuristic,failed_wizard,1680016,win,109.6799999999999,145,10,5,281,14,4,396,75
linear_q,failed_wizard,1680016,defeat,5.64999999999992,103,9,5,167,15,1,354,86
random,failed_wizard,1680017,defeat,-6.250000000000028,122,9,5,146,15,2,239,107
heuristic,failed_wizard,1680017,defeat,6.869999999999919,128,9,5,164,15,2,357,76
linear_q,failed_wizard,1680017,defeat,7.769999999999982,85,9,5,157,13,2,363,80
random,failed_wizard,1680018,defeat,-23.610000000000056,91,9,3,106,14,0,224,78
heuristic,failed_wizard,1680018,defeat,-4.860000000000021,93,9,4,125,14,2,295,76
linear_q,failed_wizard,1680018,defeat,2.1200000000000117,78,9,4,120,12,2,364,76
random,failed_wizard,1680019,defeat,13.199999999999953,173,9,7,212,13,0,282,95
heuristic,failed_wizard,1680019,defeat,24.639999999999738,193,9,7,216,17,0,408,95
linear_q,failed_wizard,1680019,defeat,26.44999999999991,89,9,7,220,14,0,429,87
random,failed_wizard,1680020,defeat,-29.29000000000001,53,5,3,90,12,1,106,76
heuristic,failed_wizard,1680020,win,139.68999999999986,111,10,8,365,17,1,444,64
linear_q,failed_wizard,1680020,win,135.20999999999992,88,10,8,366,17,1,444,77
random,failed_wizard,1680021,defeat,-0.5500000000000043,154,9,5,160,13,1,306,88
heuristic,failed_wizard,1680021,defeat,9.559999999999931,115,9,5,159,16,2,362,76
linear_q,failed_wizard,1680021,defeat,12.599999999999973,86,9,5,213,15,1,407,76
random,failed_wizard,1680022,defeat,-16.490000000000034,108,9,4,121,14,0,202,99
heuristic,failed_wizard,1680022,defeat,1.5999999999999517,128,9,5,171,15,1,263,85
linear_q,failed_wizard,1680022,win,109.42999999999995,98,10,6,295,12,0,406,79
random,failed_wizard,1680023,defeat,-7.510000000000019,118,7,5,160,13,0,246,90
heuristic,failed_wizard,1680023,defeat,23.259999999999955,161,9,6,230,17,1,391,76
linear_q,failed_wizard,1680023,defeat,29.229999999999926,88,9,7,245,18,0,439,76
