policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,guild_assassin_apprentice,2680007,defeat,35.04999999999994,178,8,7,213,16,0,359,64
heuristic,guild_assassin_apprentice,2680007,win,154.6499999999999,144,10,9,364,19,0,527,60
linear_q,guild_assassin_apprentice,2680007,defeat,49.0799999999999,147,9,8,277,18,0,431,64
random,guild_assassin_apprentice,2680008,defeat,25.109999999999935,140,9,6,209,14,2,396,64
heuristic,guild_assassin_apprentice,2680008,win,131.76999999999995,118,10,8,334,17,1,425,75
linear_q,guild_assassin_apprentice,2680008,defeat,46.829999999999885,154,9,8,253,18,1,465,64
random,guild_assassin_apprentice,2680009,defeat,8.559999999999967,115,9,5,168,15,2,276,64
heuristic,guild_assassin_apprentice,2680009,defeat,9.449999999999996,113,9,5,141,15,2,358,64
linear_q,guild_assassin_apprentice,2680009,win,90.80999999999999,74,10,4,204,13,1,280,55
random,guild_assassin_apprentice,2680010,defeat,16.849999999999966,122,9,6,198,15,1,275,75
heuristic,guild_assassin_apprentice,2680010,defeat,37.87999999999992,116,9,8,266,18,0,402,77
linear_q,guild_assassin_apprentice,2680010,defeat,39.98999999999992,139,9,8,262,18,0,348,77
random,guild_assassin_apprentice,2680011,defeat,43.06999999999998,125,9,8,263,12,0,307,64
heuristic,guild_assassin_apprentice,2680011,win,131.27999999999997,92,10,6,295,15,4,377,41
linear_q,guild_assassin_apprentice,2680011,defeat,42.27999999999987,158,9,7,219,17,2,513,64
random,guild_assassin_apprentice,2680012,defeat,-6.490000000000009,115,9,4,132,12,3,191,72
heuristic,guild_assassin_apprentice,2680012,defeat,-4.4099999999999895,89,9,4,114,14,3,268,68
linear_q,guild_assassin_apprentice,2680012,win,113.79000000000002,80,10,5,243,14,2,321,38
random,guild_assassin_apprentice,2680013,defeat,9.74999999999995,125,9,5,171,13,2,301,70
heuristic,guild_assassin_apprentice,2680013,win,143.27999999999992,112,10,7,296,16,3,467,40
linear_q,guild_assassin_apprentice,2680013,win,137.82999999999996,115,10,7,320,16,3,383,51
random,guild_assassin_apprentice,2680014,defeat,-7.469999999999999,111,9,4,144,12,2,258,74
heuristic,guild_assassin_apprentice,2680014,win,124.44999999999996,97,10,6,307,15,4,345,52
linear_q,guild_assassin_apprentice,2680014,defeat,19.93999999999997,133,9,6,199,16,1,367,77
random,guild_assassin_apprentice,2680015,defeat,12.919999999999987,136,9,5,166,14,2,246,64
heuristic,guild_assassin_apprentice,2680015,defeat,4.71999999999997,99,9,4,126,14,3,324,64
linear_q,guild_assassin_apprentice,2680015,defeat,14.129999999999946,107,9,5,154,15,2,346,64
random,guild_assassin_apprentice,2680016,defeat,-34.18,54,4,2,1,12,1,111,64
heuristic,guild_assassin_apprentice,2680016,defeat,30.03999999999997,125,9,6,185,16,2,421,64
linear_q,guild_assassin_apprentice,2680016,defeat,34.62999999999992,121,9,7,209,17,1,390,64
random,guild_assassin_apprentice,2680017,defeat,35.089999999999975,148,9,7,236,17,2,313,64
heuristic,guild_assassin_apprentice,2680017,win,143.7999999999999,138,10,8,373,17,2,458,63
linear_q,guild_assassin_apprentice,2680017,defeat,1.259999999999991,94,9,4,125,15,3,245,64
random,guild_assassin_apprentice,2680018,defeat,-7.050000000000026,106,7,4,120,13,1,192,64
heuristic,guild_assassin_apprentice,2680018,win,129.20999999999998,118,10,6,360,15,2,415,51
linear_q,guild_assassin_apprentice,2680018,defeat,2.5700000000000074,100,9,5,148,15,1,304,80
random,guild_assassin_apprentice,2680019,defeat,29.159999999999933,163,9,7,224,14,0,392,64
heuristic,guild_assassin_apprentice,2680019,defeat,43.269999999999996,115,9,8,274,18,0,397,64
linear_q,guild_assassin_apprentice,2680019,win,158.3499999999999,121,10,9,412,18,0,483,43
random,guild_assassin_apprentice,2680020,defeat,-1.3100000000000307,106,7,5,139,12,1,167,64
heuristic,guild_assassin_apprentice,2680020,win,149.4799999999999,107,10,8,344,17,1,459,39
linear_q,guild_assassin_apprentice,2680020,defeat,32.97999999999997,115,9,7,222,17,1,379,64
random,guild_assassin_apprentice,2680021,defeat,-33.30000000000002,64,5,2,62,12,1,125,64
heuristic,guild_assassin_apprentice,2680021,defeat,26.65999999999989,148,9,6,204,16,1,458,64
linear_q,guild_assassin_apprentice,2680021,win,119.12999999999992,172,10,6,274,15,1,461,63
random,guild_assassin_apprentice,2680022,defeat,-7.360000000000049,159,9,4,124,13,1,228,73
heuristic,guild_assassin_apprentice,2680022,win,103.12999999999998,111,10,5,274,14,1,348,66
linear_q,guild_assassin_apprentice,2680022,defeat,-6.279999999999994,94,9,4,142,14,1,300,71
random,guild_assassin_apprentice,2680023,defeat,-35.98999999999998,97,5,2,60,11,0,163,70
heuristic,guild_assassin_apprentice,2680023,defeat,46.32999999999988,166,9,8,265,18,0,440,64
linear_q,guild_assassin_apprentice,2680023,win,152.95999999999995,162,10,9,378,18,0,526,58
random,guild_assassin_apprentice,2680024,defeat,11.309999999999945,195,9,6,85,15,0,327,80
heuristic,guild_assassin_apprentice,2680024,defeat,20.05999999999996,115,9,6,189,16,0,421,70
linear_q,guild_assassin_apprentice,2680024,defeat,25.939999999999955,121,9,6,181,16,1,396,68
random,guild_assassin_apprentice,2680025,defeat,23.65999999999999,133,9,6,185,16,3,314,64
heuristic,guild_assassin_apprentice,2680025,defeat,44.359999999999914,151,9,8,259,18,0,468,66
linear_q,guild_assassin_apprentice,2680025,win,164.04999999999984,167,10,10,445,19,0,589,64
random,guild_assassin_apprentice,2680026,defeat,0.9299999999999571,123,7,5,171,13,1,259,80
heuristic,guild_assassin_apprentice,2680026,win,131.24999999999991,124,10,7,331,16,2,451,66
linear_q,guild_assassin_apprentice,2680026,defeat,33.83999999999991,134,9,7,233,17,1,395,67
