policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,hedge_witch,3680010,defeat,11.039999999999978,130,9,5,167,13,3,299,66
heuristic,hedge_witch,3680010,defeat,15.119999999999926,177,9,5,165,16,3,424,66
linear_q,hedge_witch,3680010,defeat,15.119999999999926,177,9,5,165,16,3,424,66
random,hedge_witch,3680011,defeat,-27.160000000000018,109,5,3,107,12,0,211,83
heuristic,hedge_witch,3680011,win,125.26999999999988,165,10,6,289,15,3,375,45
linear_q,hedge_witch,3680011,win,125.26999999999988,165,10,6,289,15,3,375,45
random,hedge_witch,3680012,defeat,-37.78,75,5,2,61,9,1,94,66
heuristic,hedge_witch,3680012,win,107.81999999999996,100,10,5,278,14,2,400,63
linear_q,hedge_witch,3680012,win,107.81999999999996,100,10,5,278,14,2,400,63
random,hedge_witch,3680013,defeat,7.289999999999964,170,9,6,192,13,1,273,83
heuristic,hedge_witch,3680013,win,128.7199999999999,172,10,7,314,16,1,482,64
linear_q,hedge_witch,3680013,win,128.7199999999999,172,10,7,314,16,1,482,64
random,hedge_witch,3680014,defeat,-3.9800000000000253,124,8,4,122,12,3,196,72
heuristic,hedge_witch,3680014,win,112.51999999999995,107,10,5,257,14,4,317,50
linear_q,hedge_witch,3680014,win,112.51999999999995,107,10,5,257,14,4,317,50
random,hedge_witch,3680015,defeat,10.17999999999995,184,9,6,224,14,0,274,83
heuristic,hedge_witch,3680015,defeat,26.97999999999996,116,9,6,196,16,1,378,66
linear_q,hedge_witch,3680015,defeat,26.97999999999996,116,9,6,196,16,1,378,66
random,hedge_witch,3680016,defeat,-17.990000000000016,95,7,3,94,12,2,126,66
heuristic,hedge_witch,3680016,defeat,22.3599999999999,125,9,6,243,16,2,390,66
linear_q,hedge_witch,3680016,defeat,22.3599999999999,125,9,6,243,16,2,390,66
random,hedge_witch,3680017,defeat,-32.39,98,5,2,63,12,1,160,66
heuristic,hedge_witch,3680017,win,129.49999999999986,203,10,7,320,17,1,521,63
linear_q,hedge_witch,3680017,win,129.49999999999986,203,10,7,320,17,1,521,63
random,hedge_witch,3680018,defeat,-7.4100000000000605,181,8,4,151,13,1,249,77
heuristic,hedge_witch,3680018,defeat,16.6399999999999,180,9,6,198,16,1,494,83
linear_q,hedge_witch,3680018,defeat,16.6399999999999,180,9,6,198,16,1,494,83
random,hedge_witch,3680019,defeat,-36.71000000000001,87,8,2,58,12,2,122,83
heuristic,hedge_witch,3680019,win,95.77999999999997,89,10,5,158,13,2,335,78
linear_q,hedge_witch,3680019,win,95.77999999999997,89,10,5,158,13,2,335,78
random,hedge_witch,3680020,defeat,-14.90000000000003,89,9,4,107,12,2,250,86
heuristic,hedge_witch,3680020,win,95.35999999999999,117,10,4,201,14,4,359,65
linear_q,hedge_witch,3680020,win,95.35999999999999,117,10,4,201,14,4,359,65
random,hedge_witch,3680021,defeat,-0.5500000000000256,148,9,4,128,13,4,206,66
heuristic,hedge_witch,3680021,win,131.14999999999998,151,10,5,250,14,4,385,18
linear_q,hedge_witch,3680021,win,131.14999999999998,151,10,5,250,14,4,385,18
random,hedge_witch,3680022,defeat,4.049999999999962,147,9,5,169,13,1,272,66
heuristic,hedge_witch,3680022,defeat,19.46999999999992,169,9,6,199,17,1,440,70
linear_q,hedge_witch,3680022,defeat,19.46999999999992,169,9,6,199,17,1,440,70
random,hedge_witch,3680023,defeat,-17.410000000000046,128,9,4,115,12,1,230,94
heuristic,hedge_witch,3680023,win,83.32000000000001,86,10,3,186,12,4,289,66
linear_q,hedge_witch,3680023,win,83.32000000000001,86,10,3,186,12,4,289,66
random,hedge_witch,3680024,defeat,11.769999999999968,169,7,6,198,14,0,231,66
heuristic,hedge_witch,3680024,win,164.2099999999998,186,10,9,398,19,0,457,22
linear_q,hedge_witch,3680024,win,164.2099999999998,186,10,9,398,19,0,457,22
random,hedge_witch,3680025,defeat,-9.090000000000025,97,6,4,122,14,2,147,66
heuristic,hedge_witch,3680025,defeat,25.159999999999897,156,9,6,216,16,2,417,66
linear_q,hedge_witch,3680025,defeat,25.159999999999897,156,9,6,216,16,2,417,66
random,hedge_witch,3680026,defeat,-22.700000000000028,86,5,3,93,13,1,163,66
heuristic,hedge_witch,3680026,win,103.42999999999998,94,10,4,210,13,4,312,44
linear_q,hedge_witch,3680026,win,103.42999999999998,94,10,4,210,13,4,312,44
random,hedge_witch,3680027,defeat,-11.190000000000051,155,8,4,121,13,1,286,83
heuristic,hedge_witch,3680027,defeat,41.07999999999982,241,9,7,202,17,1,543,66
linear_q,hedge_witch,3680027,defeat,41.07999999999982,241,9,7,202,17,1,543,66
random,hedge_witch,3680028,defeat,32.15999999999996,186,9,7,223,15,1,318,66
heuristic,hedge_witch,3680028,win,132.92999999999995,121,10,7,264,17,1,476,64
linear_q,hedge_witch,3680028,win,132.92999999999995,121,10,7,264,17,1,476,64
random,hedge_witch,3680029,defeat,-0.3800000000000452,165,9,5,162,13,1,228,83
heuristic,hedge_witch,3680029,win,108.64999999999995,153,10,6,317,15,1,404,81
linear_q,hedge_witch,3680029,win,108.64999999999995,153,10,6,317,15,1,404,81
