policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,mortuary_apprentice,4680013,defeat,-35.459999999999994,81,5,2,57,11,1,110,72
heuristic,mortuary_apprentice,4680013,defeat,42.03000000000001,184,9,8,49,20,0,416,72
linear_q,mortuary_apprentice,4680013,defeat,42.460000000000015,126,9,8,244,18,0,378,72
random,mortuary_apprentice,4680014,defeat,-40.989999999999995,78,8,2,51,12,1,145,95
heuristic,mortuary_apprentice,4680014,defeat,-3.960000000000001,93,9,5,100,16,0,325,90
linear_q,mortuary_apprentice,4680014,win,111.66999999999999,75,10,6,235,16,0,347,66
random,mortuary_apprentice,4680015,defeat,0.5200000000000173,119,8,5,163,11,0,271,83
heuristic,mortuary_apprentice,4680015,defeat,13.990000000000002,107,9,6,184,16,0,313,90
linear_q,mortuary_apprentice,4680015,defeat,28.779999999999987,119,9,7,234,17,1,337,78
random,mortuary_apprentice,4680016,defeat,0.6200000000000045,128,6,5,167,15,0,213,72
heuristic,mortuary_apprentice,4680016,defeat,29.69000000000006,116,9,7,217,18,0,366,72
linear_q,mortuary_apprentice,4680016,win,137.78,155,10,8,357,18,0,509,69
random,mortuary_apprentice,4680017,defeat,21.33000000000002,162,8,7,232,17,0,323,90
heuristic,mortuary_apprentice,4680017,defeat,29.58000000000004,129,9,8,281,18,0,344,90
linear_q,mortuary_apprentice,4680017,win,143.84000000000003,147,10,8,374,17,1,452,62
random,mortuary_apprentice,4680018,defeat,41.84999999999999,183,9,8,76,16,0,320,72
heuristic,mortuary_apprentice,4680018,defeat,42.420000000000016,157,9,8,247,18,0,478,90
linear_q,mortuary_apprentice,4680018,win,158.76999999999998,186,10,9,369,18,0,586,69
random,mortuary_apprentice,4680019,defeat,10.990000000000016,130,7,6,190,15,0,248,72
heuristic,mortuary_apprentice,4680019,win,113.23999999999998,113,10,6,276,15,2,415,80
linear_q,mortuary_apprentice,4680019,win,117.30000000000001,103,10,6,268,15,2,415,70
random,mortuary_apprentice,4680020,defeat,0.9600000000000151,125,7,5,154,15,1,194,72
heuristic,mortuary_apprentice,4680020,defeat,19.140000000000015,114,9,6,200,16,1,397,72
linear_q,mortuary_apprentice,4680020,win,133.87,104,10,7,308,17,1,409,38
random,mortuary_apprentice,4680021,defeat,0.7499999999999787,119,8,5,158,14,1,235,72
heuristic,mortuary_apprentice,4680021,defeat,19.80000000000001,103,9,6,173,16,1,354,72
linear_q,mortuary_apprentice,4680021,win,107.69,131,10,6,285,15,1,391,87
random,mortuary_apprentice,4680022,defeat,-18.880000000000024,113,5,4,128,13,0,181,83
heuristic,mortuary_apprentice,4680022,defeat,12.030000000000015,94,9,5,139,16,2,299,72
linear_q,mortuary_apprentice,4680022,win,126.71999999999997,92,10,6,331,15,2,375,45
random,mortuary_apprentice,4680023,defeat,-8.59000000000001,83,8,4,120,14,1,172,72
heuristic,mortuary_apprentice,4680023,defeat,21.960000000000008,134,9,6,182,16,1,395,72
linear_q,mortuary_apprentice,4680023,win,108.63999999999997,126,10,5,250,14,1,342,54
random,mortuary_apprentice,4680024,defeat,-6.130000000000038,110,7,4,129,12,1,208,72
heuristic,mortuary_apprentice,4680024,defeat,35.49,147,9,7,237,17,1,390,72
linear_q,mortuary_apprentice,4680024,win,148.48999999999998,168,10,8,354,17,1,586,54
random,mortuary_apprentice,4680025,defeat,5.1899999999999835,127,8,5,170,14,0,251,72
heuristic,mortuary_apprentice,4680025,defeat,45.79000000000005,116,9,8,276,19,0,364,72
linear_q,mortuary_apprentice,4680025,win,151.71999999999997,159,10,9,354,19,0,478,58
random,mortuary_apprentice,4680026,defeat,-12.199999999999989,100,6,4,120,12,1,174,73
heuristic,mortuary_apprentice,4680026,defeat,21.56000000000001,99,9,6,213,16,2,276,72
linear_q,mortuary_apprentice,4680026,win,118.63000000000002,93,10,6,281,15,2,367,56
random,mortuary_apprentice,4680027,defeat,-7.590000000000032,120,9,4,134,13,2,203,76
heuristic,mortuary_apprentice,4680027,defeat,25.719999999999928,129,9,6,179,16,2,380,72
linear_q,mortuary_apprentice,4680027,win,101.0,86,10,4,219,13,3,365,44
random,mortuary_apprentice,4680028,defeat,-24.840000000000007,67,9,3,85,12,2,154,81
heuristic,mortuary_apprentice,4680028,defeat,12.18000000000005,112,9,5,153,15,3,335,72
linear_q,mortuary_apprentice,4680028,win,115.71000000000002,119,10,6,249,15,3,428,72
random,mortuary_apprentice,4680029,defeat,-8.04999999999999,72,9,4,219,12,2,119,72
heuristic,mortuary_apprentice,4680029,defeat,4.679999999999971,110,9,5,156,16,1,235,72
linear_q,mortuary_apprentice,4680029,defeat,14.560000000000024,96,9,6,198,16,0,245,72
random,mortuary_apprentice,4680030,defeat,21.460000000000015,148,9,7,232,18,0,340,90
heuristic,mortuary_apprentice,4680030,win,142.76999999999998,130,10,8,380,17,0,444,56
linear_q,mortuary_apprentice,4680030,win,122.89999999999999,131,10,7,319,16,0,462,76
random,mortuary_apprentice,4680031,defeat,-20.380000000000006,73,7,3,107,14,1,139,72
heuristic,mortuary_apprentice,4680031,defeat,20.530000000000037,109,9,6,198,16,1,362,72
linear_q,mortuary_apprentice,4680031,win,123.23000000000002,111,10,6,287,14,2,375,49
random,mortuary_apprentice,4680032,defeat,-6.170000000000016,144,9,5,156,15,1,281,103
heuristic,mortuary_apprentice,4680032,win,138.52,124,10,8,373,17,1,473,78
linear_q,mortuary_apprentice,4680032,win,129.18,126,10,7,316,16,1,473,61
