policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,night_watch_recruit,5680016,defeat,-2.860000000000049,159,6,5,169,14,1,220,78
heuristic,night_watch_recruit,5680016,defeat,31.73999999999976,271,9,7,208,17,2,452,78
linear_q,night_watch_recruit,5680016,defeat,47.289999999999836,192,9,8,273,18,1,495,78
random,night_watch_recruit,5680017,defeat,-9.700000000000067,131,9,4,128,14,2,228,78
heuristic,night_watch_recruit,5680017,defeat,-29.030000000000136,225,5,3,97,12,1,189,78
linear_q,night_watch_recruit,5680017,defeat,31.76999999999982,254,9,7,244,17,0,474,78
random,night_watch_recruit,5680018,defeat,-13.440000000000033,144,8,4,147,13,1,198,82
heuristic,night_watch_recruit,5680018,defeat,14.069999999999716,349,9,6,204,16,1,350,80
linear_q,night_watch_recruit,5680018,defeat,14.71999999999985,180,9,6,189,17,1,414,84
random,night_watch_recruit,5680019,defeat,-21.280000000000026,77,8,3,104,11,2,206,82
heuristic,night_watch_recruit,5680019,defeat,28.61999999999982,288,9,7,231,17,2,387,78
linear_q,night_watch_recruit,5680019,win,166.04999999999987,161,10,10,407,19,0,637,74
random,night_watch_recruit,5680020,defeat,-13.91000000000005,211,8,4,133,13,2,216,78
heuristic,night_watch_recruit,5680020,defeat,-0.030000000000249827,334,9,5,184,14,2,331,78
linear_q,night_watch_recruit,5680020,win,125.25999999999993,106,10,6,285,14,2,452,48
random,night_watch_recruit,5680021,defeat,-5.240000000000059,133,9,5,179,14,0,195,88
heuristic,night_watch_recruit,5680021,defeat,0.08999999999988262,173,9,5,184,16,1,279,78
linear_q,night_watch_recruit,5680021,defeat,-6.660000000000039,84,9,4,68,15,1,302,78
random,night_watch_recruit,5680022,defeat,-11.440000000000055,129,9,4,132,13,2,267,98
heuristic,night_watch_recruit,5680022,defeat,18.85999999999973,397,9,6,205,16,2,420,78
linear_q,night_watch_recruit,5680022,win,137.23999999999995,130,10,7,332,16,2,498,53
random,night_watch_recruit,5680023,defeat,-43.070000000000014,127,5,2,60,12,0,114,78
heuristic,night_watch_recruit,5680023,defeat,-7.060000000000073,199,9,4,67,15,3,356,78
linear_q,night_watch_recruit,5680023,win,113.09999999999991,159,10,6,285,16,1,426,64
random,night_watch_recruit,5680024,defeat,-6.150000000000055,121,9,5,155,13,1,245,86
heuristic,night_watch_recruit,5680024,defeat,9.829999999999941,179,9,6,191,15,1,401,89
linear_q,night_watch_recruit,5680024,defeat,46.56999999999993,128,9,8,283,18,0,548,78
random,night_watch_recruit,5680025,defeat,-13.030000000000019,119,7,4,125,13,1,185,78
heuristic,night_watch_recruit,5680025,defeat,42.43999999999976,303,9,8,277,18,1,513,78
linear_q,night_watch_recruit,5680025,defeat,29.989999999999895,155,9,7,217,17,1,477,78
random,night_watch_recruit,5680026,defeat,-4.719999999999992,116,7,5,157,15,0,213,78
heuristic,night_watch_recruit,5680026,defeat,7.37999999999996,285,9,5,162,15,3,361,78
linear_q,night_watch_recruit,5680026,win,143.26999999999984,140,10,8,346,17,1,495,59
random,night_watch_recruit,5680027,defeat,12.599999999999973,148,9,6,199,15,1,340,97
heuristic,night_watch_recruit,5680027,win,127.88999999999993,213,10,6,335,15,3,449,57
linear_q,night_watch_recruit,5680027,defeat,6.919999999999952,122,9,5,169,15,2,383,78
random,night_watch_recruit,5680028,defeat,-34.109999999999985,82,4,2,59,12,1,147,78
heuristic,night_watch_recruit,5680028,win,101.30999999999989,191,10,5,264,14,3,392,76
linear_q,night_watch_recruit,5680028,defeat,-8.860000000000035,99,9,4,137,14,2,226,83
random,night_watch_recruit,5680029,defeat,-18.85000000000002,104,8,3,104,13,3,153,78
heuristic,night_watch_recruit,5680029,defeat,18.59999999999976,289,9,6,197,16,3,357,78
linear_q,night_watch_recruit,5680029,defeat,46.54999999999987,169,9,8,250,18,1,458,78
random,night_watch_recruit,5680030,defeat,31.379999999999775,282,9,8,242,16,0,316,78
heuristic,night_watch_recruit,5680030,defeat,21.609999999999232,737,9,8,275,17,1,344,78
linear_q,night_watch_recruit,5680030,defeat,48.72999999999988,187,9,9,281,19,0,429,78
random,night_watch_recruit,5680031,defeat,-7.710000000000072,143,9,5,150,14,2,230,98
heuristic,night_watch_recruit,5680031,defeat,19.159999999999805,209,9,7,236,17,2,249,86
linear_q,night_watch_recruit,5680031,defeat,23.399999999999913,136,9,6,208,16,3,351,78
random,night_watch_recruit,5680032,defeat,-3.360000000000092,220,8,6,195,13,1,242,102
heuristic,night_watch_recruit,5680032,defeat,13.39999999999975,310,9,6,214,16,2,403,78
linear_q,night_watch_recruit,5680032,defeat,26.449999999999797,201,9,7,233,17,0,405,81
random,night_watch_recruit,5680033,defeat,-2.9800000000000395,140,9,5,172,14,1,208,92
heuristic,night_watch_recruit,5680033,defeat,32.00999999999988,289,9,7,223,17,1,470,78
linear_q,night_watch_recruit,5680033,win,113.6099999999999,156,10,6,266,15,1,413,70
random,night_watch_recruit,5680034,defeat,0.46999999999997755,140,9,5,177,14,2,273,92
heuristic,night_watch_recruit,5680034,win,114.60999999999996,219,10,6,262,16,2,446,65
linear_q,night_watch_recruit,5680034,defeat,16.719999999999892,150,9,6,196,16,1,356,78
random,night_watch_recruit,5680035,defeat,-14.699999999999996,103,9,4,121,14,1,264,98
heuristic,night_watch_recruit,5680035,defeat,-0.11000000000015575,220,9,5,178,15,2,266,78
linear_q,night_watch_recruit,5680035,win,95.62999999999998,66,10,5,252,15,1,341,87
