policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,sewer_diplomat,6680019,defeat,-8.860000000000035,123,9,4,126,13,3,236,90
heuristic,sewer_diplomat,6680019,win,110.22999999999995,102,10,5,293,14,5,401,68
linear_q,sewer_diplomat,6680019,win,109.72999999999982,268,10,5,226,13,5,403,66
random,sewer_diplomat,6680020,defeat,-10.070000000000018,99,9,3,89,13,4,276,69
heuristic,sewer_diplomat,6680020,defeat,-10.270000000000088,133,9,4,129,13,3,317,87
linear_q,sewer_diplomat,6680020,defeat,-12.640000000000086,131,9,3,101,12,4,275,68
random,sewer_diplomat,6680021,defeat,9.219999999999978,119,8,5,163,14,1,271,68
heuristic,sewer_diplomat,6680021,defeat,13.399999999999949,150,8,5,159,15,2,315,68
linear_q,sewer_diplomat,6680021,win,131.12999999999982,238,10,7,336,13,2,481,57
random,sewer_diplomat,6680022,defeat,-26.43999999999999,97,5,3,96,13,0,168,85
heuristic,sewer_diplomat,6680022,win,100.94999999999996,128,10,6,310,15,0,432,113
linear_q,sewer_diplomat,6680022,win,118.17999999999982,326,10,7,297,13,0,444,73
random,sewer_diplomat,6680023,defeat,-8.730000000000025,118,9,4,72,16,0,226,68
heuristic,sewer_diplomat,6680023,defeat,-16.410000000000014,105,7,3,101,13,1,232,68
linear_q,sewer_diplomat,6680023,win,108.96999999999989,205,10,5,255,13,1,347,52
random,sewer_diplomat,6680024,defeat,-42.73,66,9,1,30,13,3,144,82
heuristic,sewer_diplomat,6680024,defeat,-26.810000000000034,101,9,2,65,13,3,239,77
linear_q,sewer_diplomat,6680024,defeat,-17.000000000000174,261,9,3,94,12,2,345,78
random,sewer_diplomat,6680025,defeat,-10.660000000000021,128,8,4,176,12,2,187,87
heuristic,sewer_diplomat,6680025,win,136.18999999999988,171,10,7,330,16,2,430,44
linear_q,sewer_diplomat,6680025,defeat,21.89999999999987,248,9,6,254,14,2,310,68
random,sewer_diplomat,6680026,defeat,-21.950000000000006,89,9,3,93,13,3,161,89
heuristic,sewer_diplomat,6680026,defeat,18.35999999999993,144,9,6,188,16,2,342,68
linear_q,sewer_diplomat,6680026,win,116.91999999999972,345,10,6,274,13,3,445,68
random,sewer_diplomat,6680027,defeat,-40.48,72,4,2,68,12,0,100,68
heuristic,sewer_diplomat,6680027,defeat,23.569999999999922,154,9,6,222,17,2,448,68
linear_q,sewer_diplomat,6680027,win,123.74999999999979,256,10,7,338,15,2,421,68
random,sewer_diplomat,6680028,defeat,-12.860000000000007,84,4,4,131,13,0,185,68
heuristic,sewer_diplomat,6680028,defeat,24.009999999999934,187,9,6,220,16,2,340,68
linear_q,sewer_diplomat,6680028,defeat,21.66999999999984,212,9,6,223,14,2,391,68
random,sewer_diplomat,6680029,defeat,-7.220000000000027,120,7,5,170,14,0,232,85
heuristic,sewer_diplomat,6680029,win,128.0499999999999,178,10,7,299,16,1,460,68
linear_q,sewer_diplomat,6680029,win,126.55999999999985,278,10,7,307,13,1,476,63
random,sewer_diplomat,6680030,defeat,-26.359999999999985,98,9,3,106,12,3,152,99
heuristic,sewer_diplomat,6680030,defeat,30.01999999999989,168,9,7,228,18,1,364,68
linear_q,sewer_diplomat,6680030,win,145.1599999999998,383,10,8,309,14,1,522,42
random,sewer_diplomat,6680031,defeat,-2.490000000000009,111,9,5,158,14,1,171,85
heuristic,sewer_diplomat,6680031,defeat,1.9499999999999815,111,9,4,122,14,4,307,68
linear_q,sewer_diplomat,6680031,defeat,13.929999999999843,300,9,6,180,15,2,384,68
random,sewer_diplomat,6680032,defeat,-21.91,91,9,3,82,11,2,140,76
heuristic,sewer_diplomat,6680032,defeat,20.929999999999943,115,9,6,207,17,1,280,68
linear_q,sewer_diplomat,6680032,defeat,21.799999999999734,325,9,6,203,14,1,397,68
random,sewer_diplomat,6680033,defeat,-18.400000000000006,89,9,3,81,14,2,179,81
heuristic,sewer_diplomat,6680033,win,113.54999999999993,125,10,6,250,16,1,410,72
linear_q,sewer_diplomat,6680033,win,122.86999999999964,453,10,7,313,13,1,445,58
random,sewer_diplomat,6680034,defeat,11.839999999999975,156,9,6,209,15,0,319,78
heuristic,sewer_diplomat,6680034,defeat,-4.090000000000053,123,9,4,122,14,4,303,77
linear_q,sewer_diplomat,6680034,win,106.92999999999991,195,10,5,243,13,4,368,68
random,sewer_diplomat,6680035,defeat,7.989999999999931,169,9,5,144,14,2,262,68
heuristic,sewer_diplomat,6680035,win,128.6899999999999,166,10,7,315,16,1,450,63
linear_q,sewer_diplomat,6680035,win,141.89999999999986,227,10,7,311,14,1,423,17
random,sewer_diplomat,6680036,defeat,30.10999999999992,147,9,7,237,15,2,276,68
heuristic,sewer_diplomat,6680036,defeat,32.34999999999982,203,9,7,235,17,2,340,68
linear_q,sewer_diplomat,6680036,win,142.31999999999977,326,10,8,354,12,2,482,48
random,sewer_diplomat,6680037,defeat,-4.300000000000061,127,9,4,119,12,2,258,68
heuristic,sewer_diplomat,6680037,win,107.38999999999992,131,10,5,298,14,3,415,69
linear_q,sewer_diplomat,6680037,win,111.28999999999985,215,10,6,284,14,2,397,61
random,sewer_diplomat,6680038,defeat,31.239999999999853,228,9,7,241,15,0,348,68
heuristic,sewer_diplomat,6680038,defeat,27.429999999999865,153,9,7,231,17,1,326,68
linear_q,sewer_diplomat,6680038,win,133.08999999999992,207,10,7,331,11,2,415,44
