policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,shroomancer,7680022,defeat,-29.859999999999992,95,7,3,82,11,2,150,90
heuristic,shroomancer,7680022,defeat,8.469999999999981,145,7,6,203,15,0,267,79
linear_q,shroomancer,7680022,defeat,11.889999999999965,137,9,6,198,16,1,312,79
random,shroomancer,7680023,defeat,-12.470000000000049,140,9,4,133,14,2,253,90
heuristic,shroomancer,7680023,defeat,-1.8100000000000307,126,9,4,137,14,3,299,72
linear_q,shroomancer,7680023,defeat,-18.460000000000015,72,7,3,102,12,2,178,72
random,shroomancer,7680024,defeat,-5.690000000000026,116,9,4,134,13,3,212,72
heuristic,shroomancer,7680024,defeat,4.96999999999997,150,9,5,165,16,3,296,72
linear_q,shroomancer,7680024,defeat,6.909999999999947,155,9,5,158,16,3,311,72
random,shroomancer,7680025,defeat,-20.069999999999997,104,4,4,128,13,0,140,72
heuristic,shroomancer,7680025,defeat,20.39999999999995,150,9,6,182,16,3,341,72
linear_q,shroomancer,7680025,defeat,20.229999999999976,129,9,6,182,16,3,301,72
random,shroomancer,7680026,defeat,-24.180000000000046,177,6,4,144,13,0,178,90
heuristic,shroomancer,7680026,defeat,2.639999999999965,206,9,6,198,16,1,373,120
linear_q,shroomancer,7680026,win,115.95999999999992,236,10,7,335,17,1,551,102
random,shroomancer,7680027,defeat,3.379999999999974,139,9,5,155,14,3,270,73
heuristic,shroomancer,7680027,defeat,-10.330000000000005,100,9,3,142,13,5,265,78
linear_q,shroomancer,7680027,win,100.26999999999995,106,10,4,202,13,5,284,54
random,shroomancer,7680028,defeat,-10.24000000000003,169,9,5,173,12,1,222,102
heuristic,shroomancer,7680028,win,114.78999999999996,179,10,7,299,15,1,417,78
linear_q,shroomancer,7680028,defeat,7.7899999999999565,168,9,6,181,16,1,399,90
random,shroomancer,7680029,defeat,-19.83000000000001,119,5,3,103,13,1,161,72
heuristic,shroomancer,7680029,defeat,27.49999999999993,170,9,7,218,18,0,336,72
linear_q,shroomancer,7680029,defeat,22.599999999999937,140,9,6,184,16,2,433,72
random,shroomancer,7680030,defeat,-6.390000000000036,146,9,5,170,14,0,192,90
heuristic,shroomancer,7680030,defeat,13.289999999999885,217,9,6,196,16,1,345,81
linear_q,shroomancer,7680030,win,121.92999999999994,185,10,7,328,16,1,461,80
random,shroomancer,7680031,defeat,-3.780000000000051,154,8,5,154,14,1,227,90
heuristic,shroomancer,7680031,defeat,29.149999999999928,200,9,7,252,17,1,370,74
linear_q,shroomancer,7680031,win,119.58999999999995,193,10,7,302,16,1,475,79
random,shroomancer,7680032,defeat,-7.140000000000008,173,7,5,155,14,1,217,89
heuristic,shroomancer,7680032,defeat,19.549999999999947,183,9,6,190,16,2,336,72
linear_q,shroomancer,7680032,defeat,20.31999999999995,160,9,6,192,16,2,337,72
random,shroomancer,7680033,defeat,12.289999999999964,151,7,6,191,15,0,243,72
heuristic,shroomancer,7680033,defeat,42.399999999999956,189,9,8,249,18,1,462,72
linear_q,shroomancer,7680033,defeat,27.989999999999974,164,8,7,224,17,1,311,72
random,shroomancer,7680034,defeat,34.16999999999991,255,9,8,228,16,1,316,72
heuristic,shroomancer,7680034,win,105.32999999999994,161,10,6,277,15,3,370,89
linear_q,shroomancer,7680034,defeat,6.759999999999927,166,9,5,153,15,3,325,76
random,shroomancer,7680035,defeat,-38.34999999999999,91,4,2,61,13,1,108,72
heuristic,shroomancer,7680035,defeat,-21.74000000000002,98,9,3,104,14,4,271,90
linear_q,shroomancer,7680035,win,85.73999999999998,102,10,4,232,14,4,329,86
random,shroomancer,7680036,defeat,-30.660000000000004,111,3,3,96,13,0,120,72
heuristic,shroomancer,7680036,win,111.24,121,10,5,156,15,2,318,38
linear_q,shroomancer,7680036,win,99.86999999999999,111,10,5,252,13,2,298,65
random,shroomancer,7680037,defeat,18.559999999999967,151,9,6,176,15,2,277,72
heuristic,shroomancer,7680037,defeat,7.1499999999999275,170,9,5,177,16,3,317,72
linear_q,shroomancer,7680037,win,125.38999999999993,157,10,6,331,15,3,366,48
random,shroomancer,7680038,defeat,8.66000000000001,154,9,5,248,14,2,197,72
heuristic,shroomancer,7680038,defeat,-0.030000000000050875,123,9,4,130,14,3,294,72
linear_q,shroomancer,7680038,win,128.06999999999994,170,10,7,313,16,2,448,84
random,shroomancer,7680039,defeat,-4.500000000000028,98,7,5,179,15,0,204,90
heuristic,shroomancer,7680039,defeat,24.029999999999973,210,9,6,200,17,2,368,72
linear_q,shroomancer,7680039,defeat,23.92999999999995,173,9,6,223,17,2,373,72
random,shroomancer,7680040,defeat,2.4099999999999824,177,7,5,161,15,1,234,72
heuristic,shroomancer,7680040,defeat,25.219999999999963,168,9,7,234,18,1,295,72
linear_q,shroomancer,7680040,win,155.3599999999999,265,10,8,355,18,1,516,27
random,shroomancer,7680041,defeat,-44.99999999999999,117,9,2,12,14,2,138,108
heuristic,shroomancer,7680041,defeat,-20.10000000000004,126,9,3,38,15,3,239,88
linear_q,shroomancer,7680041,win,89.85999999999999,119,10,4,241,14,3,327,80
