policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,witch_clerk,8680025,defeat,-4.550000000000004,90,9,4,122,13,1,188,64
heuristic,witch_clerk,8680025,defeat,4.049999999999969,161,9,5,150,15,0,229,64
linear_q,witch_clerk,8680025,defeat,4.989999999999981,119,9,5,167,15,0,305,64
random,witch_clerk,8680026,defeat,-7.430000000000007,106,8,4,126,12,1,173,72
heuristic,witch_clerk,8680026,defeat,21.319999999999922,195,9,6,193,16,2,378,64
linear_q,witch_clerk,8680026,defeat,29.759999999999877,167,9,6,207,16,2,437,64
random,witch_clerk,8680027,defeat,-7.100000000000023,126,8,4,133,13,2,209,72
heuristic,witch_clerk,8680027,defeat,9.589999999999932,182,9,5,171,16,2,346,71
linear_q,witch_clerk,8680027,defeat,11.72999999999999,127,9,5,144,16,2,391,65
random,witch_clerk,8680028,defeat,-2.8300000000000054,103,6,5,160,14,0,171,64
heuristic,witch_clerk,8680028,defeat,18.12999999999993,182,9,6,183,16,1,454,71
linear_q,witch_clerk,8680028,defeat,23.14999999999994,126,9,7,235,16,0,363,72
random,witch_clerk,8680029,defeat,-48.97,42,3,1,31,12,0,58,64
heuristic,witch_clerk,8680029,defeat,-7.1600000000000605,165,9,4,138,15,1,331,80
linear_q,witch_clerk,8680029,defeat,-10.15000000000002,125,9,4,125,15,1,301,83
random,witch_clerk,8680030,defeat,18.709999999999987,118,9,6,210,15,1,224,64
heuristic,witch_clerk,8680030,win,118.07999999999993,179,10,6,293,16,2,393,64
linear_q,witch_clerk,8680030,defeat,10.899999999999991,117,9,5,160,15,2,308,64
random,witch_clerk,8680031,defeat,-3.1800000000000495,145,9,5,162,12,1,198,80
heuristic,witch_clerk,8680031,defeat,4.099999999999895,229,9,5,148,15,1,374,80
linear_q,witch_clerk,8680031,defeat,19.659999999999968,124,9,6,203,17,1,436,68
random,witch_clerk,8680032,defeat,8.57999999999997,155,7,6,177,16,0,327,80
heuristic,witch_clerk,8680032,defeat,7.019999999999953,172,9,5,160,16,2,339,77
linear_q,witch_clerk,8680032,defeat,-1.9900000000000304,135,9,5,163,15,2,446,102
random,witch_clerk,8680033,defeat,17.529999999999994,122,9,6,132,17,0,268,80
heuristic,witch_clerk,8680033,defeat,-10.250000000000036,113,9,3,98,14,3,257,64
linear_q,witch_clerk,8680033,win,99.55999999999995,115,10,5,234,12,2,314,64
random,witch_clerk,8680034,defeat,24.329999999999984,114,9,7,212,13,1,253,75
heuristic,witch_clerk,8680034,win,108.60999999999993,129,10,7,319,15,1,325,84
linear_q,witch_clerk,8680034,defeat,8.149999999999963,140,9,5,194,15,3,355,79
random,witch_clerk,8680035,defeat,8.659999999999982,101,7,5,151,14,1,205,64
heuristic,witch_clerk,8680035,defeat,19.559999999999903,184,8,6,191,17,0,310,64
linear_q,witch_clerk,8680035,defeat,29.789999999999907,159,9,7,217,17,1,393,64
random,witch_clerk,8680036,defeat,3.2999999999999545,129,9,5,170,15,1,191,72
heuristic,witch_clerk,8680036,win,117.95999999999994,201,10,6,265,16,1,422,62
linear_q,witch_clerk,8680036,defeat,12.09999999999998,146,9,5,158,16,1,297,64
random,witch_clerk,8680037,defeat,13.369999999999983,116,9,6,195,14,2,214,80
heuristic,witch_clerk,8680037,defeat,28.76999999999991,199,9,7,225,17,1,410,80
linear_q,witch_clerk,8680037,win,137.69999999999987,166,10,8,329,17,1,501,75
random,witch_clerk,8680038,defeat,28.239999999999945,148,8,7,240,13,0,268,64
heuristic,witch_clerk,8680038,defeat,43.46999999999977,260,9,8,261,18,0,464,80
linear_q,witch_clerk,8680038,defeat,58.769999999999925,159,9,9,301,19,0,379,64
random,witch_clerk,8680039,defeat,-13.340000000000003,90,8,3,89,12,1,150,64
heuristic,witch_clerk,8680039,defeat,1.6099999999999923,146,9,4,74,16,1,302,64
linear_q,witch_clerk,8680039,defeat,-0.3900000000000077,109,9,4,140,14,1,280,64
random,witch_clerk,8680040,defeat,8.239999999999952,194,9,6,194,14,0,276,80
heuristic,witch_clerk,8680040,defeat,24.48999999999986,224,9,7,232,17,1,423,80
linear_q,witch_clerk,8680040,defeat,31.679999999999907,140,9,7,243,17,1,340,80
random,witch_clerk,8680041,defeat,-34.459999999999994,56,4,2,70,12,1,94,64
heuristic,witch_clerk,8680041,defeat,34.30999999999983,259,9,7,231,16,1,348,64
linear_q,witch_clerk,8680041,defeat,22.819999999999972,110,9,6,212,15,1,297,64
random,witch_clerk,8680042,defeat,-17.190000000000015,96,7,4,125,14,0,165,80
heuristic,witch_clerk,8680042,win,108.81999999999996,147,10,6,258,15,1,372,80
linear_q,witch_clerk,8680042,defeat,12.699999999999925,132,9,6,188,16,0,360,74
random,witch_clerk,8680043,defeat,8.68,116,9,5,166,14,2,204,64
heuristic,witch_clerk,8680043,win,105.80999999999997,156,10,5,235,14,3,368,69
linear_q,witch_clerk,8680043,win,102.96999999999997,111,10,5,236,14,3,357,69
random,witch_clerk,8680044,defeat,-14.890000000000004,85,6,3,103,13,2,146,64
heuristic,witch_clerk,8680044,defeat,3.3499999999999446,152,9,5,178,15,2,276,80
linear_q,witch_clerk,8680044,win,117.93999999999997,102,10,6,295,15,2,365,58
