policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,bureaucrat,680001,defeat,16.910000000000004,149,8,6,203,15,0,262.0,70.0
heuristic,bureaucrat,680001,win,141.27000000000004,139,10,7,336,16,2,447.0,55.0
linear_q,bureaucrat,680001,win,152.04999999999993,232,10,9,350,19,0,550.0,70.0
random,bureaucrat,680002,defeat,-4.670000000000009,85,5,5,149,13,0,158.0,70.0
heuristic,bureaucrat,680002,defeat,25.650000000000034,153,9,6,198,16,3,444.0,70.0
linear_q,bureaucrat,680002,defeat,44.45999999999999,210,9,8,280,18,1,510.0,70.0
random,bureaucrat,680003,defeat,1.1600000000000037,109,7,5,166,14,0,222.0,70.0
heuristic,bureaucrat,680003,win,128.49000000000004,142,10,7,299,16,1,468.0,65.0
linear_q,bureaucrat,680003,win,149.82000000000002,186,10,9,392,18,0,524.0,70.0
random,bureaucrat,680004,defeat,-21.05000000000001,88,5,3,97,12,1,140.0,70.0
heuristic,bureaucrat,680004,defeat,22.480000000000054,131,9,6,201,16,2,348.0,70.0
linear_q,bureaucrat,680004,defeat,42.15000000000002,147,9,8,247,17,0,368.0,70.0
random,bureaucrat,680005,defeat,-10.42000000000003,121,9,4,146,14,2,250.0,88.0
heuristic,bureaucrat,680005,defeat,-2.4999999999999716,127,9,4,139,14,2,323.0,70.0
linear_q,bureaucrat,680005,win,121.95999999999998,145,10,6,280,15,2,413.0,56.0
random,bureaucrat,680006,defeat,7.4399999999999835,140,9,6,210,16,1,296.0,95.0
heuristic,bureaucrat,680006,defeat,13.590000000000074,146,9,7,206,17,0,421.0,106.0
linear_q,bureaucrat,680006,defeat,36.110000000000014,152,9,8,233,18,0,437.0,88.0
random,bureaucrat,680007,defeat,11.38999999999998,158,9,6,192,15,1,325.0,88.0
heuristic,bureaucrat,680007,defeat,15.320000000000036,147,9,6,207,16,1,325.0,76.0
linear_q,bureaucrat,680007,defeat,14.019999999999989,180,9,6,203,15,1,453.0,87.0
random,bureaucrat,680008,defeat,0.47999999999998977,120,7,5,173,15,1,194.0,70.0
heuristic,bureaucrat,680008,win,123.39,139,10,7,340,16,1,427.0,79.0
linear_q,bureaucrat,680008,win,125.77000000000002,188,10,7,295,16,1,467.0,73.0
random,bureaucrat,680009,defeat,10.709999999999958,178,9,6,108,13,1,337.0,88.0
heuristic,bureaucrat,680009,defeat,14.980000000000032,123,9,6,155,17,1,375.0,88.0
linear_q,bureaucrat,680009,defeat,34.600000000000044,146,9,7,161,17,0,403.0,70.0
random,bureaucrat,680010,defeat,-7.989999999999995,105,7,4,127,15,1,218.0,70.0
heuristic,bureaucrat,680010,defeat,-4.389999999999986,132,5,4,123,14,1,264.0,70.0
linear_q,bureaucrat,680010,defeat,31.010000000000012,178,9,7,210,17,1,413.0,70.0
random,bureaucrat,680011,defeat,19.129999999999995,162,9,6,187,14,1,383.0,70.0
heuristic,bureaucrat,680011,defeat,0.4700000000000486,110,9,5,176,15,1,332.0,88.0
linear_q,bureaucrat,680011,defeat,-3.90000000000002,136,9,4,119,15,2,299.0,76.0
random,bureaucrat,680012,defeat,9.519999999999996,155,9,6,210,15,1,300.0,88.0
heuristic,bureaucrat,680012,defeat,34.80999999999999,154,7,7,250,17,0,409.0,70.0
linear_q,bureaucrat,680012,defeat,48.220000000000034,198,8,8,276,18,0,437.0,70.0
random,bureaucrat,680013,defeat,-15.070000000000004,79,7,4,64,15,0,123.0,70.0
heuristic,bureaucrat,680013,defeat,1.0800000000000196,124,9,5,169,15,2,294.0,88.0
linear_q,bureaucrat,680013,defeat,7.980000000000025,130,9,5,167,15,2,291.0,75.0
random,bureaucrat,680014,defeat,6.4299999999999855,137,9,5,178,13,2,225.0,70.0
heuristic,bureaucrat,680014,win,111.30000000000001,107,10,5,253,14,3,382.0,56.0
linear_q,bureaucrat,680014,win,133.68,152,10,7,314,16,2,400.0,54.0
random,bureaucrat,680015,defeat,-15.580000000000041,97,6,4,144,13,0,187.0,70.0
heuristic,bureaucrat,680015,defeat,-2.5000000000000284,83,7,5,150,15,0,226.0,70.0
linear_q,bureaucrat,680015,defeat,-28.090000000000042,83,5,3,84,14,0,165.0,70.0
random,bureaucrat,680016,defeat,-8.470000000000006,151,9,4,141,13,3,335.0,83.0
heuristic,bureaucrat,680016,defeat,-0.4299999999999571,82,7,5,172,15,1,253.0,83.0
linear_q,bureaucrat,680016,defeat,-13.179999999999975,86,6,4,132,14,1,191.0,80.0
random,bureaucrat,680017,defeat,-33.45,76,5,2,107,12,1,128.0,77.0
heuristic,bureaucrat,680017,win,120.47000000000001,150,10,6,274,15,2,415.0,64.0
linear_q,bureaucrat,680017,defeat,16.159999999999968,170,9,5,137,15,2,405.0,70.0
random,bureaucrat,680018,defeat,30.489999999999995,142,8,8,249,16,0,243.0,70.0
heuristic,bureaucrat,680018,defeat,42.019999999999996,157,9,8,103,20,0,414.0,70.0
linear_q,bureaucrat,680018,defeat,56.91000000000001,223,9,9,278,18,0,554.0,70.0
random,bureaucrat,680019,defeat,14.890000000000029,148,9,6,188,17,0,356.0,88.0
heuristic,bureaucrat,680019,win,100.79000000000003,104,10,5,265,12,1,354.0,72.0
linear_q,bureaucrat,680019,win,92.41999999999997,157,10,5,241,14,1,351.0,87.0
random,bureaucrat,680020,defeat,1.1399999999999721,130,9,6,211,15,0,282.0,105.0
heuristic,bureaucrat,680020,win,115.37000000000003,147,10,7,328,16,0,416.0,97.0
linear_q,bureaucrat,680020,defeat,9.94000000000004,147,9,6,185,16,0,409.0,92.0
random,failed_wizard,1680004,defeat,18.929999999999986,130,9,6,200,12,0,343.0,76.0
heuristic,failed_wizard,1680004,defeat,15.559999999999931,109,9,6,199,16,0,292.0,76.0
linear_q,failed_wizard,1680004,defeat,30.439999999999976,82,9,7,216,18,0,434.0,76.0
random,failed_wizard,1680005,defeat,-12.090000000000042,92,9,4,129,14,1,226.0,86.0
heuristic,failed_wizard,1680005,defeat,6.239999999999924,109,9,6,198,17,0,291.0,95.0
linear_q,failed_wizard,1680005,defeat,15.780000000000001,71,9,6,198,17,0,331.0,76.0
random,failed_wizard,1680006,defeat,-55.359999999999985,72,3,1,31,11,1,41.0,76.0
heuristic,failed_wizard,1680006,defeat,17.589999999999925,105,9,6,184,16,2,290.0,80.0
linear_q,failed_wizard,1680006,win,144.2099999999999,106,10,8,334,15,1,464.0,60.0
random,failed_wizard,1680007,defeat,22.57999999999992,192,8,7,229,15,0,390.0,76.0
heuristic,failed_wizard,1680007,defeat,38.43999999999998,77,9,8,254,19,0,451.0,76.0
linear_q,failed_wizard,1680007,defeat,37.79999999999993,119,9,8,255,16,0,433.0,76.0
random,failed_wizard,1680008,defeat,-5.630000000000017,133,9,5,169,15,1,312.0,95.0
heuristic,failed_wizard,1680008,defeat,25.689999999999948,141,9,7,213,17,2,408.0,76.0
linear_q,failed_wizard,1680008,defeat,31.949999999999875,158,9,7,227,16,0,442.0,76.0
random,failed_wizard,1680009,defeat,14.379999999999889,165,9,6,209,12,1,272.0,76.0
heuristic,failed_wizard,1680009,win,127.22999999999983,118,10,7,321,16,1,456.0,71.0
linear_q,failed_wizard,1680009,defeat,22.22999999999991,102,9,6,203,16,1,409.0,76.0
random,failed_wizard,1680010,defeat,-11.230000000000025,90,9,4,117,14,1,184.0,76.0
heuristic,failed_wizard,1680010,win,119.08999999999997,117,10,6,257,15,1,482.0,72.0
linear_q,failed_wizard,1680010,win,118.93999999999996,91,10,6,282,15,1,398.0,62.0
random,failed_wizard,1680011,defeat,-15.940000000000026,168,9,5,163,13,1,253.0,113.0
heuristic,failed_wizard,1680011,defeat,8.549999999999898,158,9,5,154,15,2,401.0,76.0
linear_q,failed_wizard,1680011,win,148.61999999999992,106,10,8,338,16,0,501.0,47.0
random,failed_wizard,1680012,defeat,-27.830000000000027,78,8,3,90,13,0,146.0,76.0
heuristic,failed_wizard,1680012,win,120.2299999999999,167,10,7,306,16,0,482.0,70.0
linear_q,failed_wizard,1680012,defeat,12.79999999999999,101,9,6,209,16,0,327.0,76.0
random,failed_wizard,1680013,defeat,-17.97000000000007,152,6,4,144,13,1,250.0,95.0
heuristic,failed_wizard,1680013,defeat,30.56999999999985,171,9,7,245,17,1,448.0,76.0
linear_q,failed_wizard,1680013,defeat,35.34999999999993,98,9,7,216,16,1,421.0,76.0
random,failed_wizard,1680014,defeat,-9.590000000000003,106,9,4,116,13,2,209.0,76.0
heuristic,failed_wizard,1680014,defeat,-1.1400000000000219,123,9,4,170,15,2,341.0,76.0
linear_q,failed_wizard,1680014,win,109.13,84,10,5,242,15,2,338.0,51.0
random,failed_wizard,1680015,defeat,0.3499999999999943,96,6,5,177,14,0,234.0,76.0
heuristic,failed_wizard,1680015,defeat,28.249999999999922,114,9,7,231,18,0,350.0,76.0
linear_q,failed_wizard,1680015,defeat,27.289999999999978,82,9,7,226,15,0,414.0,76.0
random,failed_wizard,1680016,defeat,-3.430000000000007,117,9,4,132,14,3,192.0,76.0
heuristic,failed_wizard,1680016,win,109.6799999999999,145,10,5,281,14,4,396.0,75.0
linear_q,failed_wizard,1680016,defeat,5.64999999999992,103,9,5,167,15,1,354.0,86.0
random,failed_wizard,1680017,defeat,-6.250000000000028,122,9,5,146,15,2,239.0,107.0
heuristic,failed_wizard,1680017,defeat,6.869999999999919,128,9,5,164,15,2,357.0,76.0
linear_q,failed_wizard,1680017,defeat,7.769999999999982,85,9,5,157,13,2,363.0,80.0
random,failed_wizard,1680018,defeat,-23.610000000000056,91,9,3,106,14,0,224.0,78.0
heuristic,failed_wizard,1680018,defeat,-4.860000000000021,93,9,4,125,14,2,295.0,76.0
linear_q,failed_wizard,1680018,defeat,2.1200000000000117,78,9,4,120,12,2,364.0,76.0
random,failed_wizard,1680019,defeat,13.199999999999953,173,9,7,212,13,0,282.0,95.0
heuristic,failed_wizard,1680019,defeat,24.639999999999738,193,9,7,216,17,0,408.0,95.0
linear_q,failed_wizard,1680019,defeat,26.44999999999991,89,9,7,220,14,0,429.0,87.0
random,failed_wizard,1680020,defeat,-29.29000000000001,53,5,3,90,12,1,106.0,76.0
heuristic,failed_wizard,1680020,win,139.68999999999986,111,10,8,365,17,1,444.0,64.0
