policy,character_id,runs,wins,win_rate,avg_reward,avg_nodes,avg_fights,avg_damage_dealt,avg_damage_taken
heuristic,bureaucrat,20,7,0.35,50.08300000000003,8.85,5.9,366.85,75.35
heuristic,failed_wizard,20,5,0.25,42.33699999999992,9.25,6.05,380.4,77.15
heuristic,guild_assassin_apprentice,20,10,0.5,80.03299999999994,9.5,6.65,411.45,60.9
heuristic,hedge_witch,20,13,0.65,84.27349999999993,9.65,5.75,409.9,60.3
heuristic,mortuary_apprentice,20,3,0.15,39.35800000000001,9.15,6.5,368.05,75.5
heuristic,night_watch_recruit,20,3,0.15,28.269499999999805,8.95,5.9,370.75,77.25
heuristic,sewer_diplomat,20,7,0.35,47.97449999999993,9.2,5.5,357.55,70.9
heuristic,shroomancer,20,3,0.15,25.10599999999996,9.05,5.5,328.95,76.75
heuristic,witch_clerk,20,5,0.25,38.08199999999992,9.2,5.65,356.05,72.1
linear_q,bureaucrat,20,6,0.3,53.60450000000001,8.9,6.55,402.0,73.4
linear_q,failed_wizard,20,6,0.3,53.14999999999994,9.3,6.4,405.9,73.25
linear_q,guild_assassin_apprentice,20,7,0.35,63.70549999999994,9.35,6.6,396.1,63.0
linear_q,hedge_witch,20,13,0.65,84.27349999999993,9.65,5.75,409.9,60.3
linear_q,mortuary_apprentice,20,17,0.85,112.147,9.85,6.75,416.0,62.6
linear_q,night_watch_recruit,20,7,0.35,60.887499999999896,9.35,6.65,429.0,74.15
linear_q,sewer_diplomat,20,14,0.7,89.42299999999982,9.7,6.1,408.55,60.15
linear_q,shroomancer,20,10,0.5,63.59999999999995,9.35,5.75,366.75,72.7
linear_q,witch_clerk,20,4,0.2,36.09199999999995,9.2,5.8,361.25,70.05
random,bureaucrat,20,0,0.0,0.6494999999999896,7.75,5.05,248.2,78.5
random,failed_wizard,20,0,0.0,-8.666500000000031,8.0,4.5,232.85,85.3
random,guild_assassin_apprentice,20,0,0.0,5.9154999999999704,8.0,5.0,260.0,68.1
random,hedge_witch,20,0,0.0,-8.15750000000003,7.65,4.15,216.75,74.35
random,mortuary_apprentice,20,0,0.0,-4.2805000000000035,7.6,4.6,214.05,78.3
random,night_watch_recruit,20,0,0.0,-9.105000000000045,7.95,4.45,223.0,85.85
random,sewer_diplomat,20,0,0.0,-8.653000000000025,8.1,4.05,214.55,77.5
random,shroomancer,20,0,0.0,-8.934500000000023,7.3,4.45,202.95,81.6
random,witch_clerk,20,0,0.0,-0.7150000000000176,7.65,4.7,199.1,70.55
