policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,bureaucrat,660001,defeat,29.759999999999984,130,8,7,209,13,0,301,70
heuristic,bureaucrat,660001,defeat,43.60000000000003,141,9,8,265,18,0,446,78
linear_q,bureaucrat,660001,defeat,43.11000000000004,162,9,8,253,18,0,411,75
random,bureaucrat,660002,defeat,10.37000000000004,113,7,6,207,15,0,226,70
heuristic,bureaucrat,660002,defeat,31.24000000000008,126,9,7,255,17,1,379,70
linear_q,bureaucrat,660002,defeat,-12.300000000000004,112,5,4,144,14,0,207,70
random,bureaucrat,660003,defeat,-7.669999999999995,101,9,4,122,12,2,186,70
heuristic,bureaucrat,660003,defeat,-7.559999999999981,106,9,4,47,14,2,254,70
linear_q,bureaucrat,660003,defeat,0.3200000000000429,127,9,5,154,15,1,324,70
random,bureaucrat,660004,defeat,0.6799999999999784,100,9,6,191,13,0,201,91
heuristic,bureaucrat,660004,defeat,2.210000000000022,105,9,4,149,13,4,329,70
linear_q,bureaucrat,660004,defeat,26.730000000000004,131,9,7,226,15,0,323,70
random,bureaucrat,660005,defeat,-7.690000000000033,112,8,5,160,15,1,202,88
heuristic,bureaucrat,660005,win,126.83000000000001,156,10,7,305,16,1,457,58
linear_q,bureaucrat,660005,win,119.03000000000002,168,10,7,319,16,1,404,75
random,bureaucrat,660006,defeat,-0.9000000000000483,140,9,5,161,15,1,171,70
heuristic,bureaucrat,660006,win,113.80000000000004,110,10,6,291,15,2,356,67
linear_q,bureaucrat,660006,defeat,5.7900000000000205,105,9,5,173,15,2,295,78
random,bureaucrat,660007,defeat,-13.320000000000054,120,9,4,153,15,3,193,88
heuristic,bureaucrat,660007,win,84.45999999999998,93,10,3,183,12,6,261,71
linear_q,bureaucrat,660007,defeat,16.099999999999994,132,9,5,157,15,4,315,70
random,bureaucrat,660008,defeat,23.439999999999984,134,9,7,237,15,1,323,88
heuristic,bureaucrat,660008,win,129.98000000000008,146,10,8,357,17,1,503,88
linear_q,bureaucrat,660008,defeat,33.209999999999965,178,9,8,255,18,0,397,88
random,bureaucrat,660009,defeat,-19.170000000000034,98,4,4,129,12,0,151,70
heuristic,bureaucrat,660009,defeat,14.580000000000048,138,9,6,188,16,1,443,88
linear_q,bureaucrat,660009,win,131.64999999999998,137,10,7,318,16,1,410,56
random,bureaucrat,660010,defeat,9.929999999999986,148,9,6,202,15,0,262,80
heuristic,bureaucrat,660010,defeat,20.85,177,9,6,234,16,1,406,81
linear_q,bureaucrat,660010,defeat,15.119999999999962,162,9,6,230,16,1,443,88
