policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,failed_wizard,1660004,defeat,-15.130000000000035,115,6,4,112,12,0,222,76
heuristic,failed_wizard,1660004,defeat,6.959999999999994,79,9,5,160,15,2,295,76
linear_q,failed_wizard,1660004,win,128.8099999999999,110,10,7,325,14,1,412,59
random,failed_wizard,1660005,defeat,-18.240000000000013,118,9,4,132,12,2,228,103
heuristic,failed_wizard,1660005,defeat,-6.220000000000034,166,9,4,128,14,2,392,84
linear_q,failed_wizard,1660005,win,136.73999999999998,115,10,7,333,16,1,489,60
random,failed_wizard,1660006,defeat,22.05999999999996,166,9,7,74,16,0,329,80
heuristic,failed_wizard,1660006,defeat,23.289999999999935,117,9,7,247,17,0,300,76
linear_q,failed_wizard,1660006,win,136.53999999999996,81,10,8,360,17,0,449,64
random,failed_wizard,1660007,defeat,5.779999999999994,103,9,5,182,15,2,318,85
heuristic,failed_wizard,1660007,defeat,20.88999999999983,201,9,6,186,16,2,416,76
linear_q,failed_wizard,1660007,win,127.80999999999992,96,10,6,264,15,2,416,44
random,failed_wizard,1660008,defeat,-11.359999999999985,90,6,4,122,14,2,223,76
heuristic,failed_wizard,1660008,win,143.89000000000004,75,10,7,316,16,3,532,46
linear_q,failed_wizard,1660008,defeat,39.92999999999995,108,9,7,206,15,2,515,76
random,failed_wizard,1660009,defeat,9.809999999999974,128,9,6,179,16,0,283,82
heuristic,failed_wizard,1660009,defeat,2.119999999999834,203,9,5,150,15,2,353,76
linear_q,failed_wizard,1660009,win,112.59,74,10,6,276,15,0,364,62
random,failed_wizard,1660010,defeat,-9.709999999999997,102,9,4,143,12,2,174,76
heuristic,failed_wizard,1660010,defeat,6.539999999999907,141,9,5,164,15,1,360,76
linear_q,failed_wizard,1660010,defeat,6.5899999999999395,121,9,5,162,12,1,388,76
random,failed_wizard,1660011,defeat,-10.870000000000022,116,9,4,125,14,1,229,76
heuristic,failed_wizard,1660011,defeat,-6.749999999999993,68,9,4,133,14,3,231,85
linear_q,failed_wizard,1660011,defeat,-9.169999999999973,78,9,4,131,14,2,308,84
random,failed_wizard,1660012,defeat,-2.760000000000012,102,9,5,166,14,1,231,95
heuristic,failed_wizard,1660012,defeat,18.12999999999994,103,9,6,204,16,1,305,76
linear_q,failed_wizard,1660012,defeat,8.389999999999958,96,9,5,155,12,2,351,76
random,failed_wizard,1660013,defeat,-7.849999999999987,93,9,4,124,14,2,227,85
heuristic,failed_wizard,1660013,defeat,11.379999999999988,92,9,5,156,16,3,323,76
linear_q,failed_wizard,1660013,defeat,9.389999999999972,83,9,5,164,16,1,398,81
