policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,guild_assassin_apprentice,2660007,defeat,15.529999999999994,120,9,6,194,13,1,328,64
heuristic,guild_assassin_apprentice,2660007,defeat,-6.199999999999996,97,9,4,169,14,2,348,80
linear_q,guild_assassin_apprentice,2660007,defeat,7.189999999999969,137,9,5,205,15,1,405,80
random,guild_assassin_apprentice,2660008,defeat,28.399999999999913,135,9,6,194,15,3,358,64
heuristic,guild_assassin_apprentice,2660008,defeat,16.34999999999996,111,9,5,161,15,4,370,64
linear_q,guild_assassin_apprentice,2660008,win,136.55999999999992,130,10,7,316,16,2,448,46
random,guild_assassin_apprentice,2660009,defeat,9.709999999999972,119,9,5,158,14,1,272,64
heuristic,guild_assassin_apprentice,2660009,defeat,15.869999999999983,94,9,5,166,15,1,313,64
linear_q,guild_assassin_apprentice,2660009,defeat,14.97000000000002,88,9,5,174,14,1,347,64
random,guild_assassin_apprentice,2660010,defeat,7.219999999999956,156,8,6,210,16,0,260,80
heuristic,guild_assassin_apprentice,2660010,defeat,16.55999999999998,92,9,5,151,15,4,367,64
linear_q,guild_assassin_apprentice,2660010,defeat,49.55999999999993,146,9,8,258,17,0,482,64
random,guild_assassin_apprentice,2660011,defeat,14.799999999999976,135,7,6,204,17,0,230,64
heuristic,guild_assassin_apprentice,2660011,defeat,5.959999999999987,122,9,5,145,17,1,336,73
linear_q,guild_assassin_apprentice,2660011,win,171.90999999999985,168,10,9,354,19,0,501,23
random,guild_assassin_apprentice,2660012,defeat,-27.660000000000004,61,9,3,90,11,1,114,76
heuristic,guild_assassin_apprentice,2660012,win,114.92999999999998,92,10,5,240,15,2,323,40
linear_q,guild_assassin_apprentice,2660012,win,113.80999999999999,78,10,5,240,15,1,346,45
random,guild_assassin_apprentice,2660013,defeat,7.069999999999965,114,9,5,181,14,2,258,72
heuristic,guild_assassin_apprentice,2660013,win,123.52000000000001,87,10,6,290,15,2,389,56
linear_q,guild_assassin_apprentice,2660013,win,157.20999999999992,164,10,9,361,18,1,487,49
random,guild_assassin_apprentice,2660014,defeat,-19.430000000000035,96,9,3,99,12,2,226,80
heuristic,guild_assassin_apprentice,2660014,win,101.06999999999996,76,10,4,226,12,2,303,42
linear_q,guild_assassin_apprentice,2660014,win,99.65,102,10,4,198,12,1,313,42
random,guild_assassin_apprentice,2660015,defeat,21.710000000000008,113,9,6,192,16,2,276,64
heuristic,guild_assassin_apprentice,2660015,win,101.94999999999999,104,10,5,231,14,2,363,72
linear_q,guild_assassin_apprentice,2660015,win,150.42999999999984,140,10,7,287,16,2,480,30
random,guild_assassin_apprentice,2660016,defeat,4.529999999999973,104,9,5,75,15,2,260,80
heuristic,guild_assassin_apprentice,2660016,defeat,11.000000000000021,81,9,5,160,15,2,359,64
linear_q,guild_assassin_apprentice,2660016,defeat,28.88000000000001,111,9,7,232,17,0,393,71
