policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,hedge_witch,3660010,defeat,12.199999999999946,185,9,6,204,15,0,268,77
heuristic,hedge_witch,3660010,win,121.39999999999992,222,10,7,291,17,0,488,73
linear_q,hedge_witch,3660010,stalled,-19.82999999999997,275,0,0,0,10,0,0,4
random,hedge_witch,3660011,defeat,-1.5000000000000426,138,6,5,179,13,0,219,66
heuristic,hedge_witch,3660011,defeat,39.86999999999988,187,9,7,233,17,2,555,66
linear_q,hedge_witch,3660011,stalled,-18.170000000000016,273,0,0,0,10,0,0,0
random,hedge_witch,3660012,defeat,4.729999999999976,134,7,5,159,14,1,286,66
heuristic,hedge_witch,3660012,defeat,39.799999999999834,256,9,7,215,17,1,582,66
linear_q,hedge_witch,3660012,stalled,-17.960000000000022,266,0,0,0,10,0,0,0
random,hedge_witch,3660013,defeat,8.02999999999993,206,7,6,193,14,0,247,83
heuristic,hedge_witch,3660013,win,149.02999999999986,188,10,8,334,17,0,453,33
linear_q,hedge_witch,3660013,stalled,-18.320000000000014,278,0,0,0,10,0,0,0
random,hedge_witch,3660014,defeat,-39.07999999999999,69,3,2,73,12,0,69,66
heuristic,hedge_witch,3660014,defeat,30.0399999999999,173,9,7,228,17,0,450,66
linear_q,hedge_witch,3660014,defeat,-72.38000000000002,200,0,0,0,10,0,0,66
random,hedge_witch,3660015,defeat,-24.540000000000028,101,9,3,99,14,0,143,75
heuristic,hedge_witch,3660015,win,101.39999999999998,107,10,4,166,13,1,301,35
linear_q,hedge_witch,3660015,stalled,-17.630000000000017,255,0,0,0,10,0,0,0
random,hedge_witch,3660016,defeat,12.79999999999989,185,9,6,196,15,1,330,83
heuristic,hedge_witch,3660016,defeat,16.359999999999935,147,9,6,184,17,1,434,78
linear_q,hedge_witch,3660016,stalled,-24.120000000000005,258,0,0,0,10,0,0,16
random,hedge_witch,3660017,defeat,-11.750000000000036,137,9,4,120,12,3,259,96
heuristic,hedge_witch,3660017,win,97.51999999999997,113,10,4,208,13,4,328,63
linear_q,hedge_witch,3660017,stalled,-18.260000000000016,276,0,0,0,10,0,0,0
random,hedge_witch,3660018,defeat,18.13999999999998,145,8,6,180,15,1,272,66
heuristic,hedge_witch,3660018,win,124.0099999999999,141,10,6,297,15,3,404,52
linear_q,hedge_witch,3660018,stalled,-18.350000000000016,279,0,0,0,10,0,0,0
random,hedge_witch,3660019,defeat,-13.550000000000036,140,9,4,141,14,1,207,81
heuristic,hedge_witch,3660019,defeat,-5.190000000000019,157,9,4,118,14,1,365,75
linear_q,hedge_witch,3660019,stalled,-19.67999999999998,270,0,0,0,10,0,0,4
