policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,night_watch_recruit,5660016,defeat,12.689999999999884,199,9,6,180,16,1,372,89
heuristic,night_watch_recruit,5660016,defeat,29.499999999999858,248,9,7,223,17,0,443,81
linear_q,night_watch_recruit,5660016,defeat,27.739999999999895,148,9,7,241,17,0,498,87
random,night_watch_recruit,5660017,defeat,19.139999999999972,166,7,7,222,14,0,298,78
heuristic,night_watch_recruit,5660017,defeat,47.74999999999968,389,9,9,267,19,0,504,78
linear_q,night_watch_recruit,5660017,defeat,51.14999999999985,172,9,9,288,19,0,517,78
random,night_watch_recruit,5660018,defeat,-19.500000000000014,94,9,4,130,14,1,257,106
heuristic,night_watch_recruit,5660018,defeat,-11.010000000000176,315,9,4,139,15,2,322,78
linear_q,night_watch_recruit,5660018,win,108.84999999999997,91,10,5,252,14,2,357,52
random,night_watch_recruit,5660019,defeat,-7.780000000000037,105,8,4,122,13,3,200,84
heuristic,night_watch_recruit,5660019,defeat,7.439999999999955,165,9,5,156,15,4,293,78
linear_q,night_watch_recruit,5660019,defeat,10.29999999999989,153,9,5,164,15,3,406,78
random,night_watch_recruit,5660020,defeat,11.279999999999866,250,9,6,190,13,1,298,79
heuristic,night_watch_recruit,5660020,defeat,22.859999999999722,368,9,7,226,18,0,509,78
linear_q,night_watch_recruit,5660020,win,147.7499999999999,146,10,9,389,18,0,585,71
random,night_watch_recruit,5660021,defeat,12.509999999999991,144,9,6,196,15,0,254,78
heuristic,night_watch_recruit,5660021,defeat,24.969999999999864,228,9,7,245,18,0,376,78
linear_q,night_watch_recruit,5660021,defeat,31.039999999999928,136,9,7,237,17,0,371,78
random,night_watch_recruit,5660022,defeat,-9.690000000000023,123,8,4,138,12,2,205,78
heuristic,night_watch_recruit,5660022,defeat,-20.500000000000103,168,9,3,99,13,3,223,78
linear_q,night_watch_recruit,5660022,win,116.84999999999997,116,10,6,216,16,2,415,67
random,night_watch_recruit,5660023,defeat,49.03999999999987,186,9,9,311,15,0,368,78
heuristic,night_watch_recruit,5660023,defeat,44.72999999999962,459,9,9,281,19,0,437,78
linear_q,night_watch_recruit,5660023,win,171.87999999999988,205,10,10,412,19,0,567,58
random,night_watch_recruit,5660024,defeat,2.3999999999999275,191,9,6,177,16,1,230,98
heuristic,night_watch_recruit,5660024,defeat,49.319999999999695,399,9,9,266,19,0,499,78
linear_q,night_watch_recruit,5660024,defeat,51.129999999999896,136,9,9,276,19,0,480,78
random,night_watch_recruit,5660025,defeat,-8.080000000000041,107,9,5,154,13,1,188,99
heuristic,night_watch_recruit,5660025,win,112.91999999999982,290,10,6,313,15,2,369,63
linear_q,night_watch_recruit,5660025,win,113.67999999999995,110,10,6,300,16,1,399,71
