policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,sewer_diplomat,6660019,defeat,-6.490000000000052,109,9,4,74,13,2,174,68
heuristic,sewer_diplomat,6660019,win,105.27999999999997,86,10,5,271,15,2,325,62
linear_q,sewer_diplomat,6660019,win,102.15999999999988,230,10,5,255,11,2,319,59
random,sewer_diplomat,6660020,defeat,-31.339999999999993,60,5,2,70,10,2,120,68
heuristic,sewer_diplomat,6660020,defeat,12.519999999999925,118,9,5,167,15,3,360,68
linear_q,sewer_diplomat,6660020,win,112.65999999999974,343,10,6,283,12,3,413,67
random,sewer_diplomat,6660021,defeat,24.469999999999928,207,9,7,223,15,0,385,77
heuristic,sewer_diplomat,6660021,defeat,17.91999999999991,128,9,6,192,16,2,289,68
linear_q,sewer_diplomat,6660021,win,129.96999999999983,295,10,8,369,13,1,399,64
random,sewer_diplomat,6660022,defeat,13.759999999999984,127,7,6,206,13,1,215,68
heuristic,sewer_diplomat,6660022,defeat,15.269999999999904,139,9,5,191,15,4,333,70
linear_q,sewer_diplomat,6660022,defeat,10.789999999999893,175,9,5,208,12,4,350,68
random,sewer_diplomat,6660023,defeat,-33.74000000000002,85,9,2,59,12,4,155,85
heuristic,sewer_diplomat,6660023,win,79.76999999999998,73,10,3,179,13,4,225,68
linear_q,sewer_diplomat,6660023,win,86.46999999999998,109,10,3,175,11,4,275,49
random,sewer_diplomat,6660024,defeat,14.789999999999942,148,6,6,185,14,0,261,68
heuristic,sewer_diplomat,6660024,defeat,45.079999999999856,214,9,8,286,18,1,398,68
linear_q,sewer_diplomat,6660024,win,146.35999999999962,474,10,9,369,17,1,495,53
random,sewer_diplomat,6660025,defeat,15.26999999999994,174,9,6,179,14,1,320,85
heuristic,sewer_diplomat,6660025,win,131.20999999999987,191,10,7,306,16,1,467,55
linear_q,sewer_diplomat,6660025,win,120.88999999999987,211,10,6,275,15,2,446,55
random,sewer_diplomat,6660026,defeat,8.589999999999975,131,8,5,159,15,1,246,68
heuristic,sewer_diplomat,6660026,defeat,36.03999999999987,209,9,7,216,17,1,362,68
linear_q,sewer_diplomat,6660026,win,140.69999999999965,417,10,8,414,15,1,515,64
random,sewer_diplomat,6660027,defeat,-26.349999999999994,137,9,4,138,14,2,247,120
heuristic,sewer_diplomat,6660027,defeat,-8.810000000000038,113,9,4,133,15,2,358,94
linear_q,sewer_diplomat,6660027,win,105.25999999999993,179,10,5,262,13,2,412,57
random,sewer_diplomat,6660028,defeat,-1.6500000000000554,133,6,5,151,13,0,186,68
heuristic,sewer_diplomat,6660028,win,129.42999999999986,192,10,6,276,15,1,423,34
linear_q,sewer_diplomat,6660028,defeat,3.5199999999998255,265,9,5,150,13,1,391,78
