policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,shroomancer,7660022,defeat,-7.270000000000053,164,5,5,162,13,0,168,72
heuristic,shroomancer,7660022,win,120.24999999999994,155,10,7,306,16,2,405,77
linear_q,shroomancer,7660022,win,137.65999999999994,141,10,7,309,16,2,370,28
random,shroomancer,7660023,defeat,-13.30000000000004,207,9,5,153,14,1,241,108
heuristic,shroomancer,7660023,defeat,29.739999999999966,176,9,7,222,18,1,351,72
linear_q,shroomancer,7660023,defeat,28.119999999999997,145,9,7,207,18,1,346,72
random,shroomancer,7660024,defeat,-18.660000000000068,144,5,4,128,12,0,136,72
heuristic,shroomancer,7660024,win,101.50999999999998,157,10,6,299,15,2,340,89
linear_q,shroomancer,7660024,defeat,17.029999999999937,159,9,6,186,16,2,380,72
random,shroomancer,7660025,defeat,-17.63000000000002,120,4,4,143,14,0,145,72
heuristic,shroomancer,7660025,defeat,42.29999999999996,183,9,8,249,18,1,348,72
linear_q,shroomancer,7660025,defeat,30.95999999999993,224,8,7,233,17,1,336,72
random,shroomancer,7660026,defeat,-18.30000000000003,139,4,4,140,13,0,162,72
heuristic,shroomancer,7660026,win,126.40999999999997,207,10,8,333,17,1,452,88
linear_q,shroomancer,7660026,defeat,39.669999999999916,233,9,8,252,18,1,487,72
random,shroomancer,7660027,defeat,-10.48000000000005,144,8,5,85,14,0,183,90
heuristic,shroomancer,7660027,defeat,-20.659999999999986,89,7,4,125,14,0,181,90
linear_q,shroomancer,7660027,defeat,6.389999999999979,137,7,5,159,15,1,276,72
random,shroomancer,7660028,defeat,-32.69000000000001,121,3,3,105,13,0,120,72
heuristic,shroomancer,7660028,defeat,38.31999999999991,210,9,8,275,17,1,369,72
linear_q,shroomancer,7660028,defeat,43.97999999999995,192,9,8,257,17,1,353,72
random,shroomancer,7660029,defeat,-22.350000000000023,125,9,3,92,14,3,179,84
heuristic,shroomancer,7660029,defeat,-23.140000000000025,118,9,3,106,14,2,228,90
linear_q,shroomancer,7660029,win,84.37999999999995,135,10,4,209,14,2,345,86
random,shroomancer,7660030,defeat,-31.140000000000015,103,9,3,93,12,1,160,90
heuristic,shroomancer,7660030,defeat,-1.450000000000017,163,9,5,172,16,1,304,88
linear_q,shroomancer,7660030,win,106.56999999999996,162,10,6,282,17,1,411,90
random,shroomancer,7660031,defeat,-1.5900000000000176,190,8,6,188,15,0,221,90
heuristic,shroomancer,7660031,defeat,9.119999999999976,172,9,5,103,16,2,332,72
linear_q,shroomancer,7660031,defeat,6.929999999999993,155,9,5,93,16,2,312,72
