policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,witch_clerk,8660025,defeat,31.039999999999935,151,9,7,226,15,0,265,64
heuristic,witch_clerk,8660025,defeat,18.449999999999946,177,9,6,193,17,1,290,64
linear_q,witch_clerk,8660025,defeat,11.07,135,9,6,181,17,1,456,88
random,witch_clerk,8660026,defeat,5.359999999999985,111,8,5,179,12,1,199,64
heuristic,witch_clerk,8660026,defeat,21.899999999999906,195,9,6,213,16,1,377,64
linear_q,witch_clerk,8660026,defeat,32.00999999999988,165,9,6,212,16,1,439,64
random,witch_clerk,8660027,defeat,-18.880000000000017,95,5,3,91,12,2,148,64
heuristic,witch_clerk,8660027,defeat,37.32999999999981,237,9,7,207,17,2,402,64
linear_q,witch_clerk,8660027,defeat,35.74999999999985,178,9,7,218,17,2,418,64
random,witch_clerk,8660028,defeat,-29.119999999999997,72,3,3,102,12,0,87,64
heuristic,witch_clerk,8660028,defeat,26.1499999999999,186,9,7,242,17,1,334,80
linear_q,witch_clerk,8660028,win,129.5399999999999,153,10,8,348,16,0,425,79
random,witch_clerk,8660029,defeat,1.809999999999981,120,9,5,166,15,1,269,80
heuristic,witch_clerk,8660029,defeat,14.419999999999973,180,9,6,182,15,1,448,80
linear_q,witch_clerk,8660029,defeat,16.6099999999999,180,9,6,193,16,1,401,78
random,witch_clerk,8660030,defeat,14.189999999999955,122,9,6,199,14,2,258,80
heuristic,witch_clerk,8660030,win,133.6599999999999,168,10,7,322,16,2,431,50
linear_q,witch_clerk,8660030,win,129.4899999999999,137,10,7,308,16,2,437,72
random,witch_clerk,8660031,defeat,-19.909999999999997,84,6,3,106,11,0,124,64
heuristic,witch_clerk,8660031,defeat,23.439999999999934,185,9,6,194,17,1,350,64
linear_q,witch_clerk,8660031,defeat,27.389999999999958,153,9,6,202,16,1,305,64
random,witch_clerk,8660032,defeat,2.8899999999999864,143,6,5,152,14,0,229,64
heuristic,witch_clerk,8660032,defeat,6.169999999999966,149,6,5,151,15,0,286,64
linear_q,witch_clerk,8660032,defeat,19.34999999999995,140,7,6,193,16,0,299,64
random,witch_clerk,8660033,defeat,-31.810000000000016,66,9,2,63,12,1,97,64
heuristic,witch_clerk,8660033,defeat,10.74999999999988,204,9,5,156,15,2,337,64
linear_q,witch_clerk,8660033,defeat,8.559999999999995,109,9,5,182,15,1,246,69
random,witch_clerk,8660034,defeat,-10.030000000000001,118,8,4,123,14,1,208,80
heuristic,witch_clerk,8660034,defeat,20.609999999999943,158,9,6,202,17,1,376,80
linear_q,witch_clerk,8660034,win,146.19999999999987,212,10,8,326,18,1,562,64
