policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,bureaucrat,660001,defeat,29.759999999999984,130,8,7,209,13,0,301.0,70.0
heuristic,bureaucrat,660001,defeat,43.60000000000003,141,9,8,265,18,0,446.0,78.0
linear_q,bureaucrat,660001,defeat,43.11000000000004,162,9,8,253,18,0,411.0,75.0
random,bureaucrat,660002,defeat,10.37000000000004,113,7,6,207,15,0,226.0,70.0
heuristic,bureaucrat,660002,defeat,31.24000000000008,126,9,7,255,17,1,379.0,70.0
linear_q,bureaucrat,660002,defeat,-12.300000000000004,112,5,4,144,14,0,207.0,70.0
random,bureaucrat,660003,defeat,-7.669999999999995,101,9,4,122,12,2,186.0,70.0
heuristic,bureaucrat,660003,defeat,-7.559999999999981,106,9,4,47,14,2,254.0,70.0
linear_q,bureaucrat,660003,defeat,0.3200000000000429,127,9,5,154,15,1,324.0,70.0
random,bureaucrat,660004,defeat,0.6799999999999784,100,9,6,191,13,0,201.0,91.0
heuristic,bureaucrat,660004,defeat,2.210000000000022,105,9,4,149,13,4,329.0,70.0
linear_q,bureaucrat,660004,defeat,26.730000000000004,131,9,7,226,15,0,323.0,70.0
random,bureaucrat,660005,defeat,-7.690000000000033,112,8,5,160,15,1,202.0,88.0
heuristic,bureaucrat,660005,win,126.83000000000001,156,10,7,305,16,1,457.0,58.0
linear_q,bureaucrat,660005,win,119.03000000000002,168,10,7,319,16,1,404.0,75.0
random,bureaucrat,660006,defeat,-0.9000000000000483,140,9,5,161,15,1,171.0,70.0
heuristic,bureaucrat,660006,win,113.80000000000004,110,10,6,291,15,2,356.0,67.0
linear_q,bureaucrat,660006,defeat,5.7900000000000205,105,9,5,173,15,2,295.0,78.0
random,bureaucrat,660007,defeat,-13.320000000000054,120,9,4,153,15,3,193.0,88.0
heuristic,bureaucrat,660007,win,84.45999999999998,93,10,3,183,12,6,261.0,71.0
linear_q,bureaucrat,660007,defeat,16.099999999999994,132,9,5,157,15,4,315.0,70.0
random,bureaucrat,660008,defeat,23.439999999999984,134,9,7,237,15,1,323.0,88.0
heuristic,bureaucrat,660008,win,129.98000000000008,146,10,8,357,17,1,503.0,88.0
linear_q,bureaucrat,660008,defeat,33.209999999999965,178,9,8,255,18,0,397.0,88.0
random,bureaucrat,660009,defeat,-19.170000000000034,98,4,4,129,12,0,151.0,70.0
heuristic,bureaucrat,660009,defeat,14.580000000000048,138,9,6,188,16,1,443.0,88.0
linear_q,bureaucrat,660009,win,131.64999999999998,137,10,7,318,16,1,410.0,56.0
