policy,character_id,runs,wins,win_rate,avg_reward,avg_nodes,avg_fights,avg_damage_dealt,avg_damage_taken
heuristic,bureaucrat,10,4,0.4,55.99900000000004,9.4,5.9,383.4,74.1
heuristic,failed_wizard,10,1,0.1,22.022999999999946,9.1,5.4,350.7,74.7
heuristic,guild_assassin_apprentice,10,4,0.4,50.100999999999985,9.4,4.9,347.1,61.9
heuristic,hedge_witch,10,5,0.5,71.42399999999991,9.5,6.0,436.0,60.7
heuristic,mortuary_apprentice,10,6,0.6,68.24300000000001,9.5,5.3,358.2,71.9
heuristic,night_watch_recruit,10,1,0.1,30.797999999999792,9.1,6.6,397.5,76.8
heuristic,sewer_diplomat,10,4,0.4,56.37099999999991,9.4,5.6,354.0,65.5
heuristic,shroomancer,10,3,0.3,42.23999999999997,9.1,6.1,331.0,81.0
heuristic,witch_clerk,10,1,0.1,31.287999999999915,8.8,6.1,363.1,67.4
linear_q,bureaucrat,10,2,0.2,37.876,8.8,6.2,352.9,74.0
linear_q,failed_wizard,10,5,0.5,69.76199999999996,9.5,6.0,409.0,68.2
linear_q,guild_assassin_apprentice,10,6,0.6,93.01699999999995,9.6,6.6,420.2,51.4
linear_q,hedge_witch,10,0,0.0,-24.470000000000006,0.0,0.0,0.0,9.0
linear_q,mortuary_apprentice,10,8,0.8,86.228,9.8,4.8,355.2,60.4
linear_q,night_watch_recruit,10,5,0.5,83.0369999999999,9.5,7.3,459.5,71.8
linear_q,sewer_diplomat,10,8,0.8,95.87799999999983,9.8,6.0,401.5,61.4
linear_q,shroomancer,10,3,0.3,50.168999999999954,9.0,6.3,361.6,70.8
linear_q,witch_clerk,10,3,0.3,55.59699999999992,9.1,6.5,398.8,70.6
random,bureaucrat,10,0,0.0,2.5429999999999806,8.1,5.4,221.6,78.5
random,failed_wizard,10,0,0.0,-3.8270000000000124,8.4,4.7,246.4,83.4
random,guild_assassin_apprentice,10,0,0.0,6.187999999999972,8.7,5.1,258.2,70.8
random,hedge_witch,10,0,0.0,-3.452000000000041,7.6,4.7,230.0,75.9
random,mortuary_apprentice,10,2,0.2,13.180999999999992,8.2,4.5,244.1,81.9
random,night_watch_recruit,10,0,0.0,6.200999999999939,8.6,5.7,267.0,86.7
random,sewer_diplomat,10,0,0.0,-2.2690000000000348,7.7,4.7,230.9,77.5
random,shroomancer,10,0,0.0,-17.341000000000033,6.4,4.2,171.5,82.2
random,witch_clerk,10,0,0.0,-5.446000000000018,7.2,4.3,188.4,68.8
