policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,failed_wizard,1690004,defeat,-7.880000000000003,124,9,4,72,16,2,250,82
heuristic,failed_wizard,1690004,win,125.08999999999986,131,10,7,310,16,1,465,70
linear_q,failed_wizard,1690004,defeat,9.289999999999957,95,9,5,174,14,2,371,83
random,failed_wizard,1690005,defeat,-11.039999999999992,100,9,5,162,14,0,280,113
heuristic,failed_wizard,1690005,defeat,17.179999999999872,154,9,6,184,16,1,363,76
linear_q,failed_wizard,1690005,win,145.2399999999999,111,10,8,329,16,0,473,48
random,failed_wizard,1690006,defeat,-23.480000000000032,134,9,4,134,14,1,272,114
heuristic,failed_wizard,1690006,defeat,23.799999999999997,76,9,7,223,17,0,300,76
linear_q,failed_wizard,1690006,defeat,24.459999999999987,73,9,7,223,16,0,346,76
random,failed_wizard,1690007,defeat,6.129999999999967,86,9,6,178,15,0,316,95
heuristic,failed_wizard,1690007,win,154.1599999999999,86,10,9,394,18,0,489,65
linear_q,failed_wizard,1690007,win,161.2199999999999,75,10,9,365,18,0,489,46
random,failed_wizard,1690008,defeat,-30.84000000000002,88,7,3,83,12,1,73,76
heuristic,failed_wizard,1690008,defeat,20.259999999999884,121,9,6,181,16,2,372,76
linear_q,failed_wizard,1690008,defeat,17.039999999999907,109,9,6,193,16,0,415,83
random,failed_wizard,1690009,defeat,17.769999999999932,98,9,6,194,15,3,311,76
heuristic,failed_wizard,1690009,defeat,19.20999999999991,110,9,6,175,16,3,412,76
linear_q,failed_wizard,1690009,defeat,41.03999999999997,87,9,8,239,18,1,436,76
random,failed_wizard,1690010,defeat,1.2199999999999633,125,9,5,171,16,3,242,86
heuristic,failed_wizard,1690010,defeat,21.549999999999976,114,9,6,206,17,2,372,76
linear_q,failed_wizard,1690010,defeat,29.36999999999992,121,9,7,234,18,0,412,76
random,failed_wizard,1690011,defeat,-30.750000000000014,78,4,3,96,13,1,95,76
heuristic,failed_wizard,1690011,defeat,0.4799999999999329,133,9,5,158,15,1,294,78
linear_q,failed_wizard,1690011,defeat,6.07999999999997,74,9,5,150,14,1,375,76
random,failed_wizard,1690012,defeat,11.839999999999968,114,7,6,193,13,0,277,76
heuristic,failed_wizard,1690012,defeat,34.04999999999979,169,9,7,250,18,0,494,76
linear_q,failed_wizard,1690012,defeat,35.37999999999995,91,9,7,230,17,0,391,76
random,failed_wizard,1690013,defeat,-0.5100000000000477,115,9,5,155,15,1,282,86
heuristic,failed_wizard,1690013,defeat,9.649999999999935,96,9,6,196,15,1,300,76
linear_q,failed_wizard,1690013,defeat,0.30000000000001137,74,9,5,148,14,1,289,76
random,failed_wizard,1690014,defeat,7.309999999999981,153,9,6,204,16,1,318,95
heuristic,failed_wizard,1690014,defeat,13.16999999999991,174,9,5,192,15,3,399,76
linear_q,failed_wizard,1690014,defeat,32.48999999999982,129,9,7,255,15,1,401,76
random,failed_wizard,1690015,defeat,-40.25000000000002,75,4,2,74,12,2,67,76
heuristic,failed_wizard,1690015,defeat,-40.46000000000002,74,4,2,74,12,2,55,76
linear_q,failed_wizard,1690015,defeat,7.120000000000012,70,9,5,174,16,2,350,76
random,failed_wizard,1690016,defeat,2.0899999999999537,111,8,5,187,13,1,244,76
heuristic,failed_wizard,1690016,defeat,23.009999999999913,105,9,6,203,17,1,435,76
linear_q,failed_wizard,1690016,defeat,31.319999999999915,91,9,7,262,17,1,440,76
random,failed_wizard,1690017,defeat,-6.960000000000001,111,9,5,173,14,1,224,105
heuristic,failed_wizard,1690017,defeat,9.859999999999943,143,9,5,172,15,2,417,76
linear_q,failed_wizard,1690017,win,112.71999999999991,113,10,6,292,15,1,405,77
random,failed_wizard,1690018,defeat,-14.860000000000024,112,7,4,114,12,2,197,87
heuristic,failed_wizard,1690018,win,135.2999999999999,125,10,7,293,16,2,492,50
linear_q,failed_wizard,1690018,defeat,5.350000000000016,93,9,5,165,15,2,327,76
random,failed_wizard,1690019,defeat,-7.670000000000034,77,8,4,129,13,2,195,76
heuristic,failed_wizard,1690019,win,117.25999999999993,130,10,6,297,15,3,410,75
linear_q,failed_wizard,1690019,defeat,-10.760000000000037,122,9,4,129,15,1,380,84
random,failed_wizard,1690020,defeat,14.429999999999978,103,9,6,198,16,1,308,80
heuristic,failed_wizard,1690020,win,139.56999999999988,128,10,8,378,17,0,464,60
linear_q,failed_wizard,1690020,defeat,32.569999999999915,101,9,7,115,16,1,458,82
random,failed_wizard,1690021,defeat,2.0599999999999667,153,9,5,176,13,2,271,76
heuristic,failed_wizard,1690021,win,120.33999999999997,110,10,6,295,15,2,397,53
linear_q,failed_wizard,1690021,defeat,9.999999999999986,82,9,5,166,16,2,324,76
random,failed_wizard,1690022,defeat,-37.10999999999999,60,6,2,56,13,2,109,76
heuristic,failed_wizard,1690022,defeat,10.359999999999964,102,9,5,177,15,3,373,76
linear_q,failed_wizard,1690022,win,103.45000000000002,80,10,5,254,13,2,325,64
random,failed_wizard,1690023,defeat,-12.289999999999985,104,8,4,142,10,2,238,87
heuristic,failed_wizard,1690023,defeat,5.139999999999958,99,9,5,156,14,2,359,82
linear_q,failed_wizard,1690023,defeat,20.209999999999923,110,9,6,195,15,1,472,93
