policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,guild_assassin_apprentice,2690007,defeat,-21.470000000000024,115,8,3,95,13,1,192,80
heuristic,guild_assassin_apprentice,2690007,win,112.47000000000003,112,10,5,273,16,1,443,64
linear_q,guild_assassin_apprentice,2690007,win,109.41999999999997,127,10,5,222,15,0,347,41
random,guild_assassin_apprentice,2690008,defeat,-11.960000000000012,123,9,4,127,14,2,282,86
heuristic,guild_assassin_apprentice,2690008,win,124.91999999999997,145,10,7,324,17,1,439,80
linear_q,guild_assassin_apprentice,2690008,defeat,39.61999999999987,152,9,7,205,17,1,492,64
random,guild_assassin_apprentice,2690009,defeat,21.589999999999932,157,9,6,219,15,1,313,64
heuristic,guild_assassin_apprentice,2690009,defeat,38.22999999999991,143,9,7,223,17,1,542,72
linear_q,guild_assassin_apprentice,2690009,win,130.57999999999993,156,10,7,314,16,1,451,69
random,guild_assassin_apprentice,2690010,defeat,-14.210000000000015,114,9,4,132,13,2,266,91
heuristic,guild_assassin_apprentice,2690010,win,114.05999999999997,126,10,6,197,16,2,439,73
linear_q,guild_assassin_apprentice,2690010,defeat,5.350000000000023,126,9,5,160,15,2,364,80
random,guild_assassin_apprentice,2690011,defeat,-7.1200000000000045,92,6,4,126,14,1,192,64
heuristic,guild_assassin_apprentice,2690011,defeat,36.75999999999991,161,9,7,240,17,1,410,64
linear_q,guild_assassin_apprentice,2690011,win,149.3099999999999,192,10,8,356,17,1,540,53
random,guild_assassin_apprentice,2690012,defeat,1.6400000000000077,112,9,5,161,13,0,251,78
heuristic,guild_assassin_apprentice,2690012,defeat,13.379999999999981,91,9,5,154,15,1,302,64
linear_q,guild_assassin_apprentice,2690012,defeat,21.650000000000006,116,9,6,199,16,0,367,64
random,guild_assassin_apprentice,2690013,defeat,-10.990000000000023,116,7,4,131,14,1,256,78
heuristic,guild_assassin_apprentice,2690013,win,138.9399999999999,132,10,7,308,16,3,402,42
linear_q,guild_assassin_apprentice,2690013,defeat,9.36999999999994,119,9,5,163,15,2,330,64
random,guild_assassin_apprentice,2690014,defeat,-34.25999999999999,58,4,2,74,12,1,101,64
heuristic,guild_assassin_apprentice,2690014,win,95.84,58,10,4,226,12,4,253,58
linear_q,guild_assassin_apprentice,2690014,win,101.26999999999997,83,10,5,255,13,2,300,63
random,guild_assassin_apprentice,2690015,defeat,18.479999999999983,138,7,6,224,16,0,306,64
heuristic,guild_assassin_apprentice,2690015,defeat,37.41999999999994,129,9,7,244,17,1,409,70
linear_q,guild_assassin_apprentice,2690015,win,150.87999999999988,151,10,8,336,17,1,507,59
random,guild_assassin_apprentice,2690016,defeat,16.549999999999947,149,8,6,189,12,0,280,64
heuristic,guild_assassin_apprentice,2690016,defeat,39.619999999999926,134,9,7,246,18,0,386,64
linear_q,guild_assassin_apprentice,2690016,defeat,39.6199999999999,135,9,7,241,18,0,395,64
random,guild_assassin_apprentice,2690017,defeat,19.369999999999962,161,9,6,195,13,1,379,64
heuristic,guild_assassin_apprentice,2690017,defeat,23.709999999999937,156,9,6,195,16,1,456,80
