policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,hedge_witch,3690010,defeat,-0.08000000000002672,157,6,5,166,13,0,238,66
heuristic,hedge_witch,3690010,defeat,48.119999999999905,146,9,8,274,18,0,526,66
linear_q,hedge_witch,3690010,defeat,48.119999999999905,146,9,8,274,18,0,526,66
random,hedge_witch,3690011,defeat,-3.9800000000000395,111,7,4,218,15,1,212,66
heuristic,hedge_witch,3690011,win,124.77999999999996,97,10,5,267,14,5,320,31
linear_q,hedge_witch,3690011,win,124.77999999999996,97,10,5,267,14,5,320,31
random,hedge_witch,3690012,defeat,-7.550000000000026,163,6,4,118,14,1,229,66
heuristic,hedge_witch,3690012,win,139.25999999999985,181,10,7,305,16,2,476,46
linear_q,hedge_witch,3690012,win,139.25999999999985,181,10,7,305,16,2,476,46
random,hedge_witch,3690013,defeat,-24.100000000000026,100,5,3,90,12,1,136,66
heuristic,hedge_witch,3690013,win,120.49999999999997,133,10,6,262,15,2,369,47
linear_q,hedge_witch,3690013,win,120.49999999999997,133,10,6,262,15,2,369,47
random,hedge_witch,3690014,defeat,2.089999999999982,145,9,5,166,12,0,193,66
heuristic,hedge_witch,3690014,defeat,-9.579999999999998,119,9,4,118,13,1,247,72
linear_q,hedge_witch,3690014,defeat,-9.579999999999998,119,9,4,118,13,1,247,72
random,hedge_witch,3690015,defeat,-9.46000000000003,118,7,4,140,14,1,182,66
heuristic,hedge_witch,3690015,win,118.99999999999996,120,10,5,238,13,2,369,29
linear_q,hedge_witch,3690015,win,118.99999999999996,120,10,5,238,13,2,369,29
random,hedge_witch,3690016,defeat,-20.800000000000004,92,6,3,20,13,2,128,66
heuristic,hedge_witch,3690016,defeat,24.65999999999992,150,9,6,187,17,2,309,66
linear_q,hedge_witch,3690016,defeat,24.65999999999992,150,9,6,187,17,2,309,66
random,hedge_witch,3690017,defeat,-8.920000000000016,121,9,4,116,15,3,210,80
heuristic,hedge_witch,3690017,defeat,13.869999999999955,189,9,5,141,15,2,433,71
linear_q,hedge_witch,3690017,defeat,13.869999999999955,189,9,5,141,15,2,433,71
random,hedge_witch,3690018,defeat,-15.620000000000012,86,9,3,100,12,3,180,69
heuristic,hedge_witch,3690018,defeat,10.369999999999933,117,9,5,177,15,2,296,66
linear_q,hedge_witch,3690018,defeat,10.369999999999933,117,9,5,177,15,2,296,66
random,hedge_witch,3690019,defeat,-8.99000000000003,153,5,4,118,14,1,193,66
heuristic,hedge_witch,3690019,win,149.63999999999987,197,10,8,348,17,1,456,37
linear_q,hedge_witch,3690019,win,149.63999999999987,197,10,8,348,17,1,456,37
random,hedge_witch,3690020,defeat,5.579999999999927,178,8,5,153,15,1,235,66
heuristic,hedge_witch,3690020,win,124.34999999999988,149,10,6,265,15,2,381,42
linear_q,hedge_witch,3690020,win,124.34999999999988,149,10,6,265,15,2,381,42
random,hedge_witch,3690021,defeat,7.679999999999978,151,9,5,172,13,3,235,70
heuristic,hedge_witch,3690021,win,110.97999999999996,121,10,5,245,14,5,339,58
linear_q,hedge_witch,3690021,win,110.97999999999996,121,10,5,245,14,5,339,58
random,hedge_witch,3690022,defeat,22.029999999999944,143,9,6,123,16,2,438,66
heuristic,hedge_witch,3690022,win,116.24999999999994,146,10,5,269,14,4,424,54
linear_q,hedge_witch,3690022,win,116.24999999999994,146,10,5,269,14,4,424,54
random,hedge_witch,3690023,defeat,-29.24000000000001,82,9,2,61,10,4,110,76
heuristic,hedge_witch,3690023,win,109.22999999999999,102,10,6,292,14,2,415,77
linear_q,hedge_witch,3690023,win,109.22999999999999,102,10,6,292,14,2,415,77
random,hedge_witch,3690024,defeat,-35.30000000000002,85,9,2,73,12,2,156,85
heuristic,hedge_witch,3690024,win,98.39999999999995,109,10,4,300,13,3,388,66
linear_q,hedge_witch,3690024,win,98.39999999999995,109,10,4,300,13,3,388,66
random,hedge_witch,3690025,defeat,31.25999999999992,201,9,7,245,16,2,245,66
heuristic,hedge_witch,3690025,defeat,35.39999999999989,182,9,7,253,17,2,394,66
linear_q,hedge_witch,3690025,defeat,35.39999999999989,182,9,7,253,17,2,394,66
random,hedge_witch,3690026,defeat,30.289999999999907,188,9,7,224,17,1,291,66
heuristic,hedge_witch,3690026,win,152.1499999999998,197,10,8,355,17,2,451,41
linear_q,hedge_witch,3690026,win,152.1499999999998,197,10,8,355,17,2,451,41
random,hedge_witch,3690027,defeat,-25.56999999999999,107,4,3,104,12,0,103,66
heuristic,hedge_witch,3690027,win,139.01999999999987,181,10,8,332,17,1,505,66
linear_q,hedge_witch,3690027,win,139.01999999999987,181,10,8,332,17,1,505,66
random,hedge_witch,3690028,win,118.61999999999993,193,10,6,268,14,2,376,53
heuristic,hedge_witch,3690028,win,118.57999999999998,106,10,5,278,14,3,367,34
linear_q,hedge_witch,3690028,win,118.57999999999998,106,10,5,278,14,3,367,34
random,hedge_witch,3690029,defeat,8.889999999999958,157,9,6,60,14,1,304,83
heuristic,hedge_witch,3690029,win,120.56999999999995,116,10,6,292,15,3,382,61
linear_q,hedge_witch,3690029,win,120.56999999999995,116,10,6,292,15,3,382,61
