policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,mortuary_apprentice,4690013,defeat,-17.750000000000004,96,4,4,116,13,0,161,72
heuristic,mortuary_apprentice,4690013,defeat,23.24999999999998,114,9,7,226,17,1,405,90
linear_q,mortuary_apprentice,4690013,win,139.79999999999998,124,10,8,329,17,1,503,63
random,mortuary_apprentice,4690014,defeat,-29.21,78,9,3,88,13,1,189,89
heuristic,mortuary_apprentice,4690014,defeat,5.2600000000000335,104,9,5,179,15,1,338,82
linear_q,mortuary_apprentice,4690014,win,126.80000000000004,106,10,6,299,15,1,388,47
random,mortuary_apprentice,4690015,defeat,9.539999999999992,137,9,6,187,14,0,246,79
heuristic,mortuary_apprentice,4690015,defeat,18.899999999999977,143,9,6,183,15,0,354,72
linear_q,mortuary_apprentice,4690015,win,136.57999999999996,122,10,7,316,15,0,457,47
random,mortuary_apprentice,4690016,defeat,6.509999999999977,139,9,5,170,14,1,284,72
heuristic,mortuary_apprentice,4690016,win,113.70000000000002,127,10,6,275,16,1,383,72
linear_q,mortuary_apprentice,4690016,win,113.54,95,10,6,271,16,2,373,69
random,mortuary_apprentice,4690017,defeat,-2.1000000000000014,99,9,4,143,14,2,235,72
heuristic,mortuary_apprentice,4690017,defeat,31.490000000000002,130,9,7,221,18,0,371,72
linear_q,mortuary_apprentice,4690017,defeat,29.990000000000023,125,9,7,226,18,0,481,72
random,mortuary_apprentice,4690018,defeat,-2.519999999999982,108,9,5,158,14,2,264,90
heuristic,mortuary_apprentice,4690018,win,103.26000000000005,97,10,6,288,15,2,315,82
linear_q,mortuary_apprentice,4690018,win,130.38,142,10,7,304,16,2,475,61
random,mortuary_apprentice,4690019,defeat,-6.160000000000004,108,8,4,176,12,3,202,83
heuristic,mortuary_apprentice,4690019,defeat,35.71999999999999,127,9,7,236,17,2,373,72
linear_q,mortuary_apprentice,4690019,defeat,23.02000000000003,116,8,6,210,16,2,330,72
random,mortuary_apprentice,4690020,defeat,-6.190000000000033,121,7,4,131,13,1,201,72
heuristic,mortuary_apprentice,4690020,defeat,7.0300000000000225,118,9,5,172,15,1,358,72
linear_q,mortuary_apprentice,4690020,win,129.26,127,10,6,304,15,1,435,37
random,mortuary_apprentice,4690021,defeat,-38.78000000000001,69,4,2,54,11,1,99,72
heuristic,mortuary_apprentice,4690021,defeat,24.970000000000027,116,7,6,187,16,1,313,72
linear_q,mortuary_apprentice,4690021,defeat,48.669999999999945,173,9,8,246,18,1,556,72
random,mortuary_apprentice,4690022,defeat,22.839999999999996,184,9,7,233,17,0,379,90
heuristic,mortuary_apprentice,4690022,win,105.43000000000004,112,10,6,338,13,2,367,90
linear_q,mortuary_apprentice,4690022,defeat,-2.730000000000011,119,7,5,161,15,0,331,89
random,mortuary_apprentice,4690023,defeat,18.78,119,9,6,203,16,2,282,72
heuristic,mortuary_apprentice,4690023,win,121.68000000000002,120,10,7,338,16,3,436,95
linear_q,mortuary_apprentice,4690023,defeat,31.269999999999996,119,9,7,241,17,2,292,80
random,mortuary_apprentice,4690024,defeat,-22.750000000000032,105,9,3,85,11,3,212,90
heuristic,mortuary_apprentice,4690024,defeat,32.42999999999998,151,9,7,205,17,1,391,72
linear_q,mortuary_apprentice,4690024,win,127.39999999999996,136,10,7,300,16,2,463,78
random,mortuary_apprentice,4690025,defeat,-26.560000000000002,80,4,3,87,11,1,136,75
heuristic,mortuary_apprentice,4690025,defeat,22.32999999999999,157,9,7,201,17,1,461,90
linear_q,mortuary_apprentice,4690025,defeat,8.780000000000008,125,9,6,203,16,1,431,104
random,mortuary_apprentice,4690026,defeat,-4.290000000000006,90,7,4,128,13,2,254,72
heuristic,mortuary_apprentice,4690026,defeat,23.12000000000004,121,9,6,279,16,2,388,72
linear_q,mortuary_apprentice,4690026,win,131.98000000000002,119,10,7,407,16,2,466,66
random,mortuary_apprentice,4690027,defeat,17.37000000000002,127,8,6,204,16,1,273,72
heuristic,mortuary_apprentice,4690027,defeat,-3.1799999999999784,84,9,4,131,15,3,259,72
linear_q,mortuary_apprentice,4690027,win,119.93,89,10,6,292,16,3,392,66
random,mortuary_apprentice,4690028,defeat,-27.159999999999997,75,4,3,48,14,0,147,72
heuristic,mortuary_apprentice,4690028,defeat,19.21000000000003,107,9,6,202,16,1,287,72
linear_q,mortuary_apprentice,4690028,win,162.15999999999994,181,10,10,360,19,0,603,62
random,mortuary_apprentice,4690029,defeat,12.879999999999967,130,9,6,203,15,1,281,90
heuristic,mortuary_apprentice,4690029,defeat,23.510000000000026,107,9,6,202,16,1,402,72
linear_q,mortuary_apprentice,4690029,win,137.03999999999996,125,10,7,315,16,1,466,46
random,mortuary_apprentice,4690030,win,86.31999999999996,105,10,5,191,14,1,338,97
heuristic,mortuary_apprentice,4690030,win,101.04000000000002,92,10,5,245,15,2,321,70
linear_q,mortuary_apprentice,4690030,win,139.27,111,10,7,334,16,1,388,39
random,mortuary_apprentice,4690031,defeat,8.789999999999942,149,9,6,196,16,0,278,84
heuristic,mortuary_apprentice,4690031,win,141.88,150,10,8,359,17,1,541,75
linear_q,mortuary_apprentice,4690031,win,122.86000000000003,160,10,7,302,16,0,549,87
random,mortuary_apprentice,4690032,defeat,30.47999999999999,170,9,7,236,14,1,328,72
heuristic,mortuary_apprentice,4690032,defeat,30.55000000000001,134,9,7,214,17,1,358,72
linear_q,mortuary_apprentice,4690032,defeat,23.90999999999999,118,9,6,273,16,1,432,72
