policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,night_watch_recruit,5690016,defeat,13.529999999999951,194,9,6,196,15,1,280,83
heuristic,night_watch_recruit,5690016,defeat,-30.41000000000019,324,6,3,108,13,2,201,78
linear_q,night_watch_recruit,5690016,win,140.5499999999998,210,10,8,334,17,1,502,70
random,night_watch_recruit,5690017,defeat,20.089999999999925,135,9,7,222,16,1,302,90
heuristic,night_watch_recruit,5690017,win,128.6299999999996,467,10,8,435,17,1,460,71
linear_q,night_watch_recruit,5690017,win,147.95999999999984,151,10,8,362,17,0,602,58
random,night_watch_recruit,5690018,defeat,-2.2700000000001026,215,9,6,199,13,0,352,118
heuristic,night_watch_recruit,5690018,win,130.3199999999998,248,10,7,330,16,1,472,50
linear_q,night_watch_recruit,5690018,win,105.19999999999985,238,10,7,324,16,0,470,113
random,night_watch_recruit,5690019,defeat,-7.110000000000049,145,6,5,161,15,0,181,78
heuristic,night_watch_recruit,5690019,defeat,28.81999999999985,244,9,7,231,17,1,431,78
linear_q,night_watch_recruit,5690019,defeat,40.67999999999987,147,9,8,246,19,0,420,78
random,night_watch_recruit,5690020,defeat,22.959999999999894,172,9,7,226,14,0,290,78
heuristic,night_watch_recruit,5690020,defeat,39.90999999999983,239,9,8,276,18,1,392,78
linear_q,night_watch_recruit,5690020,defeat,53.40999999999983,170,9,9,292,19,0,521,78
random,night_watch_recruit,5690021,defeat,7.909999999999918,160,9,6,193,13,1,350,97
heuristic,night_watch_recruit,5690021,defeat,9.899999999999785,249,9,6,221,15,1,266,85
linear_q,night_watch_recruit,5690021,defeat,30.7599999999999,169,9,8,267,18,0,543,98
random,night_watch_recruit,5690022,defeat,-13.050000000000033,147,7,4,130,13,0,201,78
heuristic,night_watch_recruit,5690022,defeat,32.25999999999987,253,9,7,229,18,0,402,78
linear_q,night_watch_recruit,5690022,defeat,30.699999999999847,150,9,7,197,17,0,435,78
random,night_watch_recruit,5690023,defeat,-20.680000000000106,196,9,4,114,12,1,250,98
heuristic,night_watch_recruit,5690023,defeat,-3.5600000000002794,410,9,5,173,15,1,285,78
linear_q,night_watch_recruit,5690023,defeat,1.759999999999934,142,9,5,157,15,1,413,95
random,night_watch_recruit,5690024,defeat,-31.410000000000032,75,9,2,60,12,3,115,78
heuristic,night_watch_recruit,5690024,defeat,-7.040000000000056,261,9,4,124,15,3,302,80
linear_q,night_watch_recruit,5690024,win,118.94999999999996,102,10,6,234,17,2,407,65
random,night_watch_recruit,5690025,defeat,-9.51000000000004,120,6,4,121,12,2,237,78
heuristic,night_watch_recruit,5690025,defeat,27.38999999999971,401,9,7,237,17,2,486,78
linear_q,night_watch_recruit,5690025,defeat,40.339999999999904,133,9,8,267,18,1,468,78
random,night_watch_recruit,5690026,defeat,-27.710000000000022,90,5,3,98,13,0,151,78
heuristic,night_watch_recruit,5690026,defeat,-6.81000000000018,277,9,4,127,15,4,293,78
linear_q,night_watch_recruit,5690026,defeat,29.679999999999886,159,9,7,218,17,0,466,78
random,night_watch_recruit,5690027,defeat,31.90999999999996,112,9,7,233,16,1,302,78
heuristic,night_watch_recruit,5690027,defeat,5.509999999999607,435,9,6,190,15,1,232,78
linear_q,night_watch_recruit,5690027,defeat,19.69999999999989,120,9,6,184,16,1,378,78
random,night_watch_recruit,5690028,defeat,-27.290000000000035,126,9,3,108,13,3,207,98
heuristic,night_watch_recruit,5690028,defeat,-20.520000000000046,120,9,3,103,12,3,244,78
linear_q,night_watch_recruit,5690028,defeat,3.049999999999983,86,9,5,172,15,1,331,78
random,night_watch_recruit,5690029,defeat,20.559999999999896,214,9,7,228,15,0,295,78
heuristic,night_watch_recruit,5690029,win,136.25999999999982,307,10,8,326,16,0,465,56
linear_q,night_watch_recruit,5690029,defeat,30.02999999999983,181,9,7,213,17,0,384,81
random,night_watch_recruit,5690030,defeat,-28.2000000000001,210,9,4,133,13,2,249,118
heuristic,night_watch_recruit,5690030,defeat,-4.500000000000178,256,9,5,168,16,2,397,98
linear_q,night_watch_recruit,5690030,defeat,41.98999999999993,139,9,8,254,18,0,579,78
random,night_watch_recruit,5690031,defeat,-1.830000000000041,149,9,5,159,15,1,201,78
heuristic,night_watch_recruit,5690031,defeat,-5.810000000000123,228,9,5,152,17,1,297,88
linear_q,night_watch_recruit,5690031,win,129.14999999999998,100,10,6,284,17,1,384,32
random,night_watch_recruit,5690032,defeat,22.759999999999913,200,7,7,226,14,0,324,78
heuristic,night_watch_recruit,5690032,defeat,55.3999999999997,379,9,9,302,19,0,519,78
linear_q,night_watch_recruit,5690032,defeat,51.40999999999981,232,9,9,288,19,0,520,78
random,night_watch_recruit,5690033,defeat,-19.230000000000075,139,5,4,137,13,0,189,78
heuristic,night_watch_recruit,5690033,defeat,44.2599999999998,302,9,8,270,18,0,513,78
linear_q,night_watch_recruit,5690033,win,150.9199999999999,149,10,9,373,18,0,512,63
random,night_watch_recruit,5690034,defeat,12.539999999999928,227,8,6,200,11,1,295,78
heuristic,night_watch_recruit,5690034,defeat,24.059999999999846,248,9,7,223,17,2,311,78
linear_q,night_watch_recruit,5690034,defeat,30.939999999999884,129,9,7,222,17,1,378,78
random,night_watch_recruit,5690035,defeat,-0.2800000000001148,259,9,6,183,16,0,269,102
heuristic,night_watch_recruit,5690035,defeat,8.199999999999811,272,9,6,170,16,1,252,78
linear_q,night_watch_recruit,5690035,defeat,40.02999999999991,129,9,8,251,19,0,453,78
