policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,sewer_diplomat,6690019,defeat,19.8599999999999,195,9,7,224,13,1,330,85
heuristic,sewer_diplomat,6690019,defeat,46.589999999999954,141,9,8,260,18,1,403,68
linear_q,sewer_diplomat,6690019,defeat,44.75999999999979,334,9,8,265,15,1,446,68
random,sewer_diplomat,6690020,defeat,-23.169999999999998,88,7,3,95,13,0,160,68
heuristic,sewer_diplomat,6690020,defeat,-6.180000000000028,104,9,4,63,15,1,246,68
linear_q,sewer_diplomat,6690020,win,137.0599999999999,347,10,7,329,13,1,474,34
random,sewer_diplomat,6690021,defeat,25.23999999999989,198,8,7,244,16,0,372,80
heuristic,sewer_diplomat,6690021,defeat,19.849999999999916,130,7,6,210,15,1,283,68
linear_q,sewer_diplomat,6690021,win,154.39999999999975,291,10,9,389,16,1,550,65
random,sewer_diplomat,6690022,defeat,-18.330000000000027,91,6,3,104,12,1,179,68
heuristic,sewer_diplomat,6690022,defeat,26.159999999999904,167,9,6,205,16,2,340,68
linear_q,sewer_diplomat,6690022,win,117.47999999999985,241,10,6,293,14,2,411,65
random,sewer_diplomat,6690023,defeat,2.7299999999999827,105,7,5,142,14,1,210,68
heuristic,sewer_diplomat,6690023,defeat,20.5299999999999,140,9,6,188,17,2,326,68
linear_q,sewer_diplomat,6690023,defeat,17.78999999999982,298,9,6,182,15,2,370,68
random,sewer_diplomat,6690024,defeat,2.7199999999999775,110,9,5,161,13,3,182,77
heuristic,sewer_diplomat,6690024,defeat,19.15999999999991,131,9,6,183,16,3,269,68
linear_q,sewer_diplomat,6690024,defeat,22.079999999999842,227,9,6,179,14,3,400,68
random,sewer_diplomat,6690025,defeat,-21.290000000000013,108,7,3,124,13,2,198,85
heuristic,sewer_diplomat,6690025,defeat,18.159999999999897,168,9,6,172,16,1,411,79
linear_q,sewer_diplomat,6690025,defeat,4.559999999999889,179,9,5,167,12,2,346,70
random,sewer_diplomat,6690026,defeat,23.25999999999989,179,8,7,222,13,1,290,68
heuristic,sewer_diplomat,6690026,defeat,10.889999999999887,182,9,6,191,16,0,360,75
linear_q,sewer_diplomat,6690026,win,121.52999999999983,235,10,7,350,13,0,478,68
random,sewer_diplomat,6690027,defeat,-18.9,88,8,3,93,13,1,143,73
heuristic,sewer_diplomat,6690027,defeat,-2.47000000000007,144,9,4,129,14,2,325,78
linear_q,sewer_diplomat,6690027,defeat,-10.61000000000012,225,9,4,127,15,1,285,76
random,sewer_diplomat,6690028,defeat,2.4299999999999926,98,6,5,158,13,0,227,68
heuristic,sewer_diplomat,6690028,defeat,19.26999999999989,173,9,6,186,16,0,393,71
linear_q,sewer_diplomat,6690028,defeat,16.309999999999846,250,9,6,183,12,0,375,68
random,sewer_diplomat,6690029,defeat,7.419999999999952,139,9,6,193,14,1,234,84
heuristic,sewer_diplomat,6690029,defeat,30.239999999999846,178,9,7,225,17,1,432,69
linear_q,sewer_diplomat,6690029,defeat,27.449999999999733,352,9,7,241,14,1,462,68
random,sewer_diplomat,6690030,defeat,-7.410000000000025,117,9,4,124,14,2,145,68
heuristic,sewer_diplomat,6690030,win,109.78999999999994,121,10,5,262,14,2,334,47
linear_q,sewer_diplomat,6690030,win,96.47999999999992,179,10,5,248,13,2,334,74
random,sewer_diplomat,6690031,defeat,-13.910000000000007,101,9,3,96,14,2,139,68
heuristic,sewer_diplomat,6690031,defeat,44.13999999999988,225,9,8,239,18,0,538,68
linear_q,sewer_diplomat,6690031,win,146.1999999999997,369,10,9,376,15,0,554,68
random,sewer_diplomat,6690032,defeat,13.129999999999924,148,9,6,194,13,1,270,85
heuristic,sewer_diplomat,6690032,win,131.44999999999987,132,10,7,335,16,2,427,64
linear_q,sewer_diplomat,6690032,win,119.78999999999988,215,10,7,302,12,2,368,68
random,sewer_diplomat,6690033,defeat,-4.750000000000021,104,9,4,127,14,2,234,72
heuristic,sewer_diplomat,6690033,defeat,-3.080000000000034,97,9,4,123,14,2,333,68
linear_q,sewer_diplomat,6690033,defeat,-9.580000000000041,105,9,4,133,12,1,241,68
random,sewer_diplomat,6690034,defeat,16.239999999999945,127,7,6,192,13,1,258,68
heuristic,sewer_diplomat,6690034,win,126.88999999999992,139,10,6,287,15,4,400,59
linear_q,sewer_diplomat,6690034,defeat,19.639999999999844,209,9,6,225,14,3,383,68
random,sewer_diplomat,6690035,defeat,-2.8000000000000256,127,6,5,168,13,0,196,68
heuristic,sewer_diplomat,6690035,win,132.92999999999992,260,10,7,303,16,2,501,52
linear_q,sewer_diplomat,6690035,defeat,-7.180000000000057,219,7,4,122,11,2,267,68
random,sewer_diplomat,6690036,defeat,-20.900000000000006,91,6,3,110,11,1,159,68
heuristic,sewer_diplomat,6690036,defeat,11.849999999999966,125,9,5,177,14,2,322,68
linear_q,sewer_diplomat,6690036,defeat,10.60999999999973,320,9,5,143,12,2,456,68
random,sewer_diplomat,6690037,defeat,-1.2100000000000293,116,5,5,163,14,0,198,68
heuristic,sewer_diplomat,6690037,defeat,4.569999999999929,128,9,5,156,15,3,334,85
linear_q,sewer_diplomat,6690037,win,118.84999999999991,203,10,6,270,14,3,397,62
random,sewer_diplomat,6690038,defeat,-1.1800000000000495,133,6,5,141,14,0,207,68
heuristic,sewer_diplomat,6690038,defeat,26.28999999999995,114,9,7,256,16,0,312,85
linear_q,sewer_diplomat,6690038,win,135.02999999999966,382,10,8,349,14,0,454,52
