policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,shroomancer,7690022,defeat,-27.500000000000014,117,7,3,99,11,1,156,90
heuristic,shroomancer,7690022,win,115.83999999999993,165,10,6,286,14,1,428,66
linear_q,shroomancer,7690022,win,117.87999999999994,148,10,6,297,14,1,428,63
random,shroomancer,7690023,defeat,-4.370000000000061,173,7,5,152,14,1,240,88
heuristic,shroomancer,7690023,defeat,30.749999999999936,223,9,8,260,18,0,374,90
linear_q,shroomancer,7690023,win,148.7999999999999,253,10,9,371,18,0,565,78
random,shroomancer,7690024,defeat,-22.269999999999982,150,9,3,91,12,2,137,78
heuristic,shroomancer,7690024,defeat,40.889999999999915,233,9,8,274,18,0,395,76
linear_q,shroomancer,7690024,defeat,36.699999999999946,186,9,8,254,18,0,365,87
random,shroomancer,7690025,defeat,-14.500000000000007,137,9,4,121,11,2,200,90
heuristic,shroomancer,7690025,defeat,-10.100000000000016,150,9,4,130,13,2,291,90
linear_q,shroomancer,7690025,defeat,-8.60000000000003,142,9,4,138,13,2,342,90
random,shroomancer,7690026,defeat,-43.8,89,6,2,66,10,1,118,90
heuristic,shroomancer,7690026,defeat,26.83999999999996,158,9,7,222,16,1,315,72
linear_q,shroomancer,7690026,win,130.30999999999995,191,10,7,322,16,2,418,66
random,shroomancer,7690027,defeat,-50.56999999999999,54,3,1,27,12,1,62,72
heuristic,shroomancer,7690027,defeat,22.549999999999947,160,8,7,234,17,0,378,80
linear_q,shroomancer,7690027,defeat,36.25999999999989,202,9,8,268,18,0,466,83
random,shroomancer,7690028,defeat,-27.340000000000007,124,7,3,97,13,1,160,90
heuristic,shroomancer,7690028,defeat,-4.110000000000028,151,9,4,136,16,2,288,72
linear_q,shroomancer,7690028,defeat,-2.259999999999998,135,9,4,68,16,3,261,72
random,shroomancer,7690029,defeat,-15.520000000000032,155,6,4,134,13,1,192,80
heuristic,shroomancer,7690029,defeat,7.559999999999974,167,9,5,53,15,3,299,78
linear_q,shroomancer,7690029,defeat,2.649999999999963,159,9,5,165,15,2,331,78
random,shroomancer,7690030,defeat,-27.720000000000013,107,6,3,105,12,1,132,78
heuristic,shroomancer,7690030,defeat,13.659999999999968,172,9,6,191,16,1,346,84
linear_q,shroomancer,7690030,win,113.23999999999998,176,10,6,292,15,1,448,69
random,shroomancer,7690031,defeat,-28.64,116,3,3,107,13,0,112,72
heuristic,shroomancer,7690031,defeat,23.10999999999995,204,9,6,210,17,2,398,72
linear_q,shroomancer,7690031,defeat,20.65999999999996,148,9,6,203,17,2,302,72
random,shroomancer,7690032,defeat,-32.93000000000001,93,3,3,108,12,0,79,72
heuristic,shroomancer,7690032,defeat,10.55999999999996,183,9,6,211,16,1,375,88
linear_q,shroomancer,7690032,defeat,12.559999999999938,173,9,6,205,16,1,429,86
random,shroomancer,7690033,defeat,-28.539999999999992,150,6,3,101,13,0,124,72
heuristic,shroomancer,7690033,defeat,-6.3800000000000665,171,9,4,67,15,1,228,72
linear_q,shroomancer,7690033,defeat,-5.880000000000052,137,9,4,68,14,1,220,72
random,shroomancer,7690034,defeat,-11.070000000000014,115,8,4,142,14,1,163,72
heuristic,shroomancer,7690034,defeat,19.279999999999916,232,9,6,128,17,1,374,72
linear_q,shroomancer,7690034,defeat,17.739999999999924,203,9,6,131,17,1,349,72
random,shroomancer,7690035,defeat,-21.270000000000014,118,7,3,93,11,3,118,72
heuristic,shroomancer,7690035,win,108.86999999999996,126,10,6,275,16,2,341,67
linear_q,shroomancer,7690035,win,112.80999999999997,128,10,6,275,16,2,341,57
random,shroomancer,7690036,defeat,12.419999999999959,148,9,6,206,16,1,263,90
heuristic,shroomancer,7690036,defeat,31.06999999999995,224,9,7,237,18,1,367,72
linear_q,shroomancer,7690036,defeat,32.499999999999886,277,9,7,235,18,1,521,72
random,shroomancer,7690037,defeat,-7.380000000000031,136,9,4,132,12,3,158,76
heuristic,shroomancer,7690037,defeat,-2.2300000000000395,164,9,4,129,14,3,247,72
linear_q,shroomancer,7690037,defeat,4.109999999999971,154,9,5,170,15,2,270,72
random,shroomancer,7690038,defeat,-24.980000000000004,147,8,4,136,13,1,162,108
heuristic,shroomancer,7690038,defeat,-1.4100000000000321,125,9,4,129,15,3,312,72
linear_q,shroomancer,7690038,defeat,-1.5300000000000153,142,9,4,142,15,3,312,72
random,shroomancer,7690039,defeat,-22.699999999999996,108,5,3,111,11,1,124,72
heuristic,shroomancer,7690039,defeat,2.4200000000000017,174,9,5,169,15,2,276,90
linear_q,shroomancer,7690039,win,114.65999999999995,185,10,6,276,15,2,474,69
random,shroomancer,7690040,defeat,-26.130000000000003,114,5,3,105,12,0,153,72
heuristic,shroomancer,7690040,defeat,29.82999999999997,234,9,7,240,17,1,433,77
linear_q,shroomancer,7690040,defeat,28.939999999999934,221,9,7,224,17,1,393,77
random,shroomancer,7690041,defeat,-17.37000000000002,156,6,4,138,13,1,135,77
heuristic,shroomancer,7690041,defeat,-5.249999999999993,127,9,4,128,14,3,282,84
linear_q,shroomancer,7690041,win,110.94999999999995,166,10,5,259,14,3,344,56
