policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,witch_clerk,8690025,defeat,24.899999999999892,184,8,7,220,14,0,305,80
heuristic,witch_clerk,8690025,win,148.2799999999998,274,10,9,386,18,0,548,78
linear_q,witch_clerk,8690025,defeat,38.569999999999894,170,9,8,271,18,0,369,80
random,witch_clerk,8690026,defeat,27.029999999999944,161,8,7,225,17,0,297,64
heuristic,witch_clerk,8690026,defeat,21.61999999999994,125,9,6,49,18,2,359,64
linear_q,witch_clerk,8690026,defeat,22.999999999999957,118,9,6,60,18,2,301,64
random,witch_clerk,8690027,defeat,-5.130000000000017,110,7,4,121,14,0,175,64
heuristic,witch_clerk,8690027,defeat,32.02999999999988,219,9,7,241,16,1,359,64
linear_q,witch_clerk,8690027,defeat,31.4399999999999,139,9,7,219,18,1,325,64
random,witch_clerk,8690028,defeat,11.109999999999964,148,9,6,210,13,1,264,81
heuristic,witch_clerk,8690028,defeat,16.31999999999993,156,9,5,180,16,3,390,64
linear_q,witch_clerk,8690028,defeat,6.139999999999979,113,9,5,158,15,2,387,80
random,witch_clerk,8690029,defeat,9.19999999999996,121,9,5,183,14,0,274,67
heuristic,witch_clerk,8690029,defeat,22.18999999999992,157,9,6,197,17,1,341,64
linear_q,witch_clerk,8690029,defeat,24.279999999999916,145,9,6,190,17,1,338,64
random,witch_clerk,8690030,defeat,-13.09000000000001,104,8,4,136,11,1,167,80
heuristic,witch_clerk,8690030,defeat,6.559999999999938,220,9,5,183,15,2,331,80
linear_q,witch_clerk,8690030,defeat,15.419999999999973,112,9,5,177,14,3,302,64
random,witch_clerk,8690031,defeat,-8.050000000000011,91,9,5,68,14,0,153,80
heuristic,witch_clerk,8690031,defeat,0.8599999999999497,153,9,5,186,14,1,321,79
linear_q,witch_clerk,8690031,win,114.76999999999992,121,10,6,265,15,1,380,68
random,witch_clerk,8690032,defeat,-12.030000000000047,89,5,4,152,14,1,194,71
heuristic,witch_clerk,8690032,defeat,48.7099999999999,235,9,8,277,17,1,464,64
linear_q,witch_clerk,8690032,defeat,43.62999999999988,171,9,8,264,18,1,414,64
random,witch_clerk,8690033,defeat,-6.409999999999997,109,9,4,127,13,1,176,72
heuristic,witch_clerk,8690033,defeat,5.269999999999968,138,9,5,156,15,2,384,80
linear_q,witch_clerk,8690033,win,116.19999999999996,110,10,6,293,15,2,373,67
random,witch_clerk,8690034,defeat,23.409999999999975,136,9,7,227,16,0,242,64
heuristic,witch_clerk,8690034,defeat,31.90999999999984,285,9,7,213,17,0,394,64
linear_q,witch_clerk,8690034,defeat,15.899999999999999,91,7,6,203,16,0,240,64
random,witch_clerk,8690035,defeat,2.3999999999999773,120,6,5,153,13,0,186,64
heuristic,witch_clerk,8690035,defeat,25.82999999999989,190,9,7,228,17,1,345,80
linear_q,witch_clerk,8690035,defeat,42.39999999999991,132,9,8,238,18,1,333,64
random,witch_clerk,8690036,defeat,-23.57000000000001,84,5,3,100,13,1,166,64
heuristic,witch_clerk,8690036,defeat,21.16999999999988,172,9,6,185,16,2,448,64
linear_q,witch_clerk,8690036,defeat,9.970000000000006,111,8,5,177,15,2,278,64
random,witch_clerk,8690037,defeat,-30.620000000000005,47,3,3,102,11,0,93,64
heuristic,witch_clerk,8690037,defeat,47.61999999999979,245,9,8,251,18,1,544,64
linear_q,witch_clerk,8690037,defeat,52.12999999999974,248,9,8,251,18,1,574,64
random,witch_clerk,8690038,defeat,-14.090000000000014,96,7,4,137,11,0,237,80
heuristic,witch_clerk,8690038,win,96.86999999999995,162,10,4,228,13,4,339,63
linear_q,witch_clerk,8690038,win,95.38999999999999,96,10,4,200,12,4,328,69
random,witch_clerk,8690039,defeat,1.5899999999999679,144,8,5,166,15,1,245,80
heuristic,witch_clerk,8690039,defeat,-14.140000000000018,110,9,3,103,12,3,288,80
linear_q,witch_clerk,8690039,defeat,-5.459999999999987,96,9,4,133,12,2,336,79
random,witch_clerk,8690040,defeat,-1.970000000000013,124,8,5,168,13,1,271,80
heuristic,witch_clerk,8690040,defeat,23.399999999999878,214,9,6,156,17,1,351,64
linear_q,witch_clerk,8690040,defeat,24.089999999999975,127,9,6,208,16,1,292,64
random,witch_clerk,8690041,defeat,6.460000000000008,99,7,5,229,14,1,195,65
heuristic,witch_clerk,8690041,defeat,14.439999999999905,226,9,6,168,16,1,338,80
linear_q,witch_clerk,8690041,defeat,3.7799999999999443,126,9,5,157,14,1,290,80
random,witch_clerk,8690042,defeat,9.08999999999999,116,9,5,71,16,1,227,64
heuristic,witch_clerk,8690042,win,115.22999999999999,156,10,6,266,15,1,374,59
linear_q,witch_clerk,8690042,defeat,10.009999999999991,110,9,5,150,14,1,268,64
random,witch_clerk,8690043,defeat,-29.20000000000001,76,9,2,72,12,3,149,80
heuristic,witch_clerk,8690043,defeat,12.119999999999948,152,9,5,189,15,3,318,66
linear_q,witch_clerk,8690043,defeat,25.909999999999933,155,9,6,199,17,2,321,64
random,witch_clerk,8690044,defeat,1.1399999999999935,125,7,5,181,14,1,240,80
heuristic,witch_clerk,8690044,defeat,15.849999999999937,178,9,6,184,17,1,335,72
linear_q,witch_clerk,8690044,defeat,16.1,134,9,6,201,17,1,276,78
