policy,character_id,seed,outcome,total_reward,steps,completed_nodes,fights_won,gold,deck_size,relic_count,damage_dealt,damage_taken
random,bureaucrat,690001,defeat,-38.33000000000003,72,7,2,64,10,1,118.0,80.0
heuristic,bureaucrat,690001,win,104.87000000000002,107,10,5,256,14,2,356.0,71.0
linear_q,bureaucrat,690001,win,132.94,194,10,8,347,17,0,478.0,75.0
random,bureaucrat,690002,defeat,-5.060000000000024,129,9,5,182,13,1,210.0,88.0
heuristic,bureaucrat,690002,defeat,19.850000000000037,140,9,7,234,17,1,382.0,86.0
linear_q,bureaucrat,690002,win,131.5300000000001,137,10,8,337,17,1,437.0,75.0
random,bureaucrat,690003,defeat,-17.070000000000036,114,4,4,143,12,0,159.0,70.0
heuristic,bureaucrat,690003,win,116.75,159,10,7,298,16,0,388.0,79.0
linear_q,bureaucrat,690003,defeat,42.57,174,9,8,255,18,1,399.0,70.0
random,bureaucrat,690004,defeat,12.23999999999998,138,7,6,205,15,1,260.0,70.0
heuristic,bureaucrat,690004,defeat,17.87999999999999,132,9,6,212,16,2,303.0,70.0
linear_q,bureaucrat,690004,win,151.54999999999998,222,10,9,395,18,1,520.0,63.0
random,bureaucrat,690005,defeat,28.77999999999998,165,9,7,223,16,0,282.0,70.0
heuristic,bureaucrat,690005,defeat,7.2000000000000455,118,9,6,206,16,1,317.0,98.0
linear_q,bureaucrat,690005,win,138.72,142,10,8,226,18,0,463.0,66.0
random,bureaucrat,690006,defeat,-4.249999999999993,192,8,5,170,15,1,279.0,88.0
heuristic,bureaucrat,690006,defeat,23.73999999999998,165,9,6,188,17,1,404.0,72.0
linear_q,bureaucrat,690006,defeat,18.38000000000003,196,9,6,183,17,1,450.0,80.0
random,bureaucrat,690007,defeat,-6.799999999999969,86,9,4,128,14,2,263.0,80.0
heuristic,bureaucrat,690007,win,110.57000000000005,112,10,5,225,14,4,355.0,69.0
linear_q,bureaucrat,690007,win,127.79000000000002,114,10,6,324,15,3,372.0,45.0
random,bureaucrat,690008,defeat,-31.920000000000016,72,6,2,66,10,2,164.0,73.0
heuristic,bureaucrat,690008,defeat,-14.349999999999998,79,9,4,67,16,2,195.0,88.0
