policy,character_id,runs,wins,win_rate,avg_reward,avg_nodes,avg_fights,avg_damage_dealt,avg_damage_taken
heuristic,bureaucrat,20,8,0.4,55.91850000000003,9.35,5.9,352.05,71.5
heuristic,failed_wizard,20,6,0.3,47.94899999999992,9.05,6.0,383.1,72.25
heuristic,guild_assassin_apprentice,20,6,0.3,54.75849999999995,9.25,6.05,398.9,65.15
heuristic,hedge_witch,20,14,0.7,93.27749999999993,9.7,5.95,392.35,54.8
heuristic,mortuary_apprentice,20,6,0.3,49.079000000000015,9.2,6.2,371.05,76.9
heuristic,night_watch_recruit,20,3,0.15,29.6134999999998,9.0,6.15,361.0,77.1
heuristic,sewer_diplomat,20,4,0.2,39.351499999999916,9.1,5.95,364.45,68.8
heuristic,shroomancer,20,2,0.1,22.687499999999957,9.05,5.7,337.35,77.3
heuristic,witch_clerk,20,3,0.15,34.60699999999991,9.15,6.0,378.55,69.65
linear_q,bureaucrat,20,10,0.5,74.574,9.4,6.75,396.75,69.95
linear_q,failed_wizard,20,4,0.2,40.69449999999995,9.2,6.2,393.95,74.8
linear_q,guild_assassin_apprentice,20,8,0.4,73.19849999999992,9.35,6.85,421.2,60.15
linear_q,hedge_witch,20,14,0.7,93.27749999999993,9.7,5.95,392.35,54.8
linear_q,mortuary_apprentice,20,13,0.65,93.99549999999999,9.5,6.8,440.55,66.45
linear_q,night_watch_recruit,20,6,0.3,61.86049999999989,9.3,7.3,458.3,76.65
linear_q,sewer_diplomat,20,9,0.45,64.13249999999984,9.35,6.25,402.55,65.7
linear_q,shroomancer,20,7,0.35,51.12499999999995,9.35,5.95,378.95,73.15
linear_q,witch_clerk,20,3,0.15,35.183499999999945,9.0,6.0,336.25,68.45
random,bureaucrat,20,0,0.0,-0.5505000000000113,8.0,4.85,244.35,78.6
random,failed_wizard,20,0,0.0,-8.039500000000022,7.9,4.5,228.45,85.7
random,guild_assassin_apprentice,20,0,0.0,-2.2015000000000207,7.85,4.4,241.85,70.45
random,hedge_witch,20,1,0.05,1.8414999999999662,7.7,4.4,219.7,68.7
random,mortuary_apprentice,20,1,0.05,1.501999999999989,7.75,4.65,239.45,79.35
random,night_watch_recruit,20,0,0.0,-1.8155000000000683,8.05,5.15,252.0,87.0
random,sewer_diplomat,20,0,0.0,-1.0410000000000372,7.5,4.75,216.55,72.85
random,shroomancer,20,0,0.0,-22.109000000000012,6.45,3.4,149.4,80.55
random,witch_clerk,20,0,0.0,-1.3915000000000233,7.5,4.75,212.8,72.2
